Name,Northing,Easting,Elevation,Description,,,Date Taken
1309,5011.500945,5000.121878,99.076232,PF_C3_31A_SF52,,,13/07/2012
1310,5011.581283,5000.129699,99.094902,PF_C3_31A_SF52,,,13/07/2012
1311,5011.651416,5000.074629,99.099336,PF_C3_31A_SF52,,,13/07/2012
1312,5011.639634,4999.985549,99.090137,PF_C3_31A_SF52,,,13/07/2012
1313,5011.573377,4999.953265,99.092071,PF_C3_31A_SF52,,,13/07/2012
1314,5011.505811,4999.957494,99.09011,PF_C3_31A_SF52,,,13/07/2012
1315,5011.406261,5000.740323,99.082871,PF_C2_31_L1294,,,13/07/2012
1316,5011.15561,5000.643966,99.081626,PF_C2_31_L1295,,,13/07/2012
1317,5011.086891,5001.106731,99.089266,PF_C2_31_HM302,,,13/07/2012
1318,5011.568496,4999.139225,99.090933,EL_B3_32A_N,,,13/07/2012
1319,5010.900444,4998.509158,99.112827,EL_B3_32A_W,,,13/07/2012
1320,5010.961828,4999.187047,99.07188,EL_B3_32_C,,,13/07/2012
1321,5010.834237,4999.751234,99.028637,EL_B3_32B_E,,,13/07/2012
1322,5010.38732,5000.756965,99.070961,PF_C2_31A_L1305,,,13/07/2012
1323,5010.563042,5000.849811,99.080994,PF_C2_31A_L1306,,,13/07/2012
1324,5010.784497,5000.805918,99.05739,PF_C2_31A_L1307,,,13/07/2012
1325,5010.977343,5001.214158,99.077767,PF_C2_31A_L1308,,,13/07/2012
1326,5010.562535,5000.670639,99.03616,PF_C2_31A_HM303,,,13/07/2012
1327,5011.115086,5000.981433,99.043768,PF_C2_31_L1309,,,13/07/2012
1328,5010.745467,5000.988696,99.040487,PF_C2_31A_L1310,,,13/07/2012
1329,5010.155319,5000.633156,99.045022,EL_B1_31_N,,,13/07/2012
1330,5009.938157,5000.86187,99.026169,EL_B1_31_E,,,13/07/2012
1331,5009.424116,4999.977898,99.070987,EL_B1_31_W,,,13/07/2012
1332,5010.696238,5001.00204,99.054103,PF_C2_31A_L1311,,,13/07/2012
1333,5012.970533,5000.52163,99.080875,EL_D3_31_N,,,13/07/2012
1334,5012.402755,5001.229794,99.06305,EL_D3_31_E,,,13/07/2012
1335,5011.602741,5000.605525,99.071634,EL_D3_31_S,,,13/07/2012
1336,5012.257954,4999.914425,99.121967,EL_D3_31_W,,,13/07/2012
1337,5012.295137,5000.613187,99.088561,EL_D3_31_C,,,13/07/2012
1338,5010.920991,4999.788521,98.963244,PF_B3_33_HM304,,,13/07/2012
1339,5011.581632,5000.597015,99.059589,EL_C2_31_N,,,13/07/2012
1340,5010.920531,5001.282229,99.054723,EL_C2_31A_E,,,13/07/2012
1341,5010.162382,5000.654318,99.042645,EL_C2_31A_S,,,13/07/2012
1342,5010.829361,4999.937601,99.062234,EL_C2_31_W,,,13/07/2012
1343,5010.887113,5000.647058,99.053791,EL_C2_31_C,,,13/07/2012
1344,5011.012313,4999.501105,99.04333,PF_B3_33A_L1312,,,13/07/2012
1345,5010.972182,4999.654024,98.98682,PF_B3_33_L1313,,,13/07/2012
1346,5010.780904,4999.785867,98.963299,PF_B3_33_C14X168,,,13/07/2012
1347,5012.061854,5001.041488,99.094952,PF_D2_31_L1314,,,13/07/2012
1348,5010.037364,5001.174363,99.015919,PF_C1_31_L1315,,,13/07/2012
1349,5010.713127,5000.964803,99.041882,PF_C1_31_ART4,,,13/07/2012
1350,5010.644005,5001.097359,99.060837,PF_C1_31_ART4,,,13/07/2012
1351,5010.588261,5001.09623,99.067595,PF_C1_31_ART4,,,13/07/2012
1352,5010.51899,5000.992868,99.04487,PF_C1_31_ART4,,,13/07/2012
1353,5010.591849,5000.944023,99.046969,PF_C1_31_ART4,,,13/07/2012
1354,5010.617607,5001.030269,99.045164,PF_C1_31_ART4,,,13/07/2012
1355,5010.580428,5001.038261,99.054207,PF_C1_31_C14X169,,,13/07/2012
1356,5010.781175,5001.340343,99.079301,PF_C1_31_HM305,,,13/07/2012
1357,5010.843714,4999.258717,99.055785,PF_B3_33A_L1316,,,13/07/2012
1358,5010.797666,5001.257048,99.055423,PF_C1_31_ART5,,,13/07/2012
1359,5010.772474,5001.34979,99.060643,PF_C1_31_ART5,,,13/07/2012
1360,5010.934184,5001.357497,99.046181,PF_C1_31_ART5,,,13/07/2012
1361,5010.859667,5001.333145,99.060439,PF_C1_31_ART5,,,13/07/2012
1362,5010.855309,5001.199424,99.009171,PF_C1_31_ART6,,,13/07/2012
1363,5010.805408,5001.285105,99.043345,PF_C1_31_ART6,,,13/07/2012
1364,5010.73928,5001.275383,99.053403,PF_C1_31_ART6,,,13/07/2012
1365,5010.640217,5001.21375,99.073315,PF_C1_31_ART6,,,13/07/2012
1366,5010.569933,5001.118035,99.065365,PF_C1_31_ART6,,,13/07/2012
1367,5010.636911,5001.105054,99.048808,PF_C1_31_ART6,,,13/07/2012
1368,5010.761176,5001.156895,99.024315,PF_C1_31_ART6,,,13/07/2012
1369,5010.80503,5001.357931,99.041319,PF_C1_31_HM306,,,13/07/2012
1370,5010.702,5000.94398,99.044442,PF_C1_31_ART7,,,13/07/2012
1371,5010.744183,5001.056083,99.025147,PF_C1_31_ART7,,,13/07/2012
1372,5010.711672,5001.111738,99.038091,PF_C1_31_ART7,,,13/07/2012
1373,5010.674826,5001.098317,99.05119,PF_C1_31_ART7,,,13/07/2012
1374,5010.657144,5001.000148,99.0387,PF_C1_31_ART7,,,13/07/2012
1375,5010.732565,5001.032441,99.024685,PF_C1_31_ART7,,,13/07/2012
1376,5011.409383,5001.101575,99.091224,PF_D2_31_L1317,,,13/07/2012
1377,5011.933622,5001.558725,99.029697,PF_D2_31_L1318,,,13/07/2012
1378,5010.607914,5001.121299,99.032537,PF_C1_31_ART8,,,13/07/2012
1379,5010.546105,5001.160505,99.02209,PF_C1_31_ART8,,,13/07/2012
1380,5010.544326,5001.09846,99.021829,PF_C1_31_ART8,,,13/07/2012
1381,5010.558395,5001.125772,99.007308,PF_C1_31_ART8,,,13/07/2012
1382,5010.856706,5001.341543,99.032134,EL_C1_31_N,,,13/07/2012
1383,5010.607687,5001.562869,99.019003,EL_C1_31_E,,,13/07/2012
1384,5009.950357,5000.886313,99.022382,EL_C1_31_S,,,13/07/2012
1385,5010.158514,5000.694976,99.033851,EL_C1_31_W,,,13/07/2012
1386,5010.274565,5001.234375,99.012598,EL_C1_31_C,,,13/07/2012
1387,5011.659909,5001.480417,99.032146,PF_D2_31_L1319,,,13/07/2012
1388,5011.416453,5001.682346,99.008805,PF_D2_31_HM307,,,13/07/2012
1389,5010.873018,5001.414097,99.084478,PF_D1_31_L1320,,,13/07/2012
1390,5010.873422,5001.456144,99.076682,PF_D1_31_L1321,,,13/07/2012
1391,5010.908511,5001.428477,99.070865,PF_D1_31_L1322,,,13/07/2012
1392,5012.352039,5001.230425,99.064116,EL_D2_31_N,,,13/07/2012
1393,5011.711567,5001.961119,99.019226,EL_D2_31_E,,,13/07/2012
1394,5011.589959,5000.615799,99.075413,EL_D2_31_W,,,13/07/2012
1395,5010.953752,5001.289254,99.048874,EL_D2_31_W,,,13/07/2012
1396,5010.879608,4998.996758,99.080788,PF_B3_33_L1323,,,13/07/2012
1397,5011.008601,4998.845796,99.10659,PF_B3_33_L1324,,,13/07/2012
1398,5011.468935,5001.952572,99.003627,PF_D1_31_C14X170,,,13/07/2012
1399,5011.35892,5001.985484,99.017273,PF_D1_31_L1325,,,13/07/2012
1400,5011.104999,4998.851871,99.063501,PF_B3_33B_L1326,,,13/07/2012
1401,5011.43968,5002.163665,99.047697,PF_D1_31_AF14,,,13/07/2012
1402,5010.773524,4998.782084,99.051408,PF_B3_33B_L1327,,,13/07/2012
1403,5011.62849,5001.999823,98.999664,EL_D1_31_N,,,13/07/2012
1404,5010.904785,5001.359621,99.044208,EL_D1_31_W,,,13/07/2012
1405,5011.017121,5001.832201,99.029728,EL_D1_31_C,,,13/07/2012
1406,5011.529803,4999.749352,99.065641,PF_C3_31_L1328,,,13/07/2012
1407,5011.498393,4999.13863,99.008415,EL_B3_33A_N,,,13/07/2012
1408,5010.832916,4999.882081,98.971819,EL_B3_33_E,,,13/07/2012
1409,5010.972154,4998.518758,99.026832,EL_B3_33B_,,,13/07/2012
1410,5011.417032,5000.314151,98.995318,PF_C3_32_L1229,,,13/07/2012
1411,5011.697009,5000.364942,99.010775,PF_C3_32_L1230,,,13/07/2012
1412,5011.760727,5000.291627,99.015719,PF_C3_32_L1231,,,13/07/2012
1413,5011.915209,4999.722474,99.073935,PF_C3_32_C14X171,,,13/07/2012
1414,5012.246489,4999.874193,99.03925,EL_C3_32_N,,,13/07/2012
1415,5011.5873,5000.562066,98.998335,EL_C3_32_E,,,13/07/2012
1416,5010.876238,4999.92579,98.995873,EL_C3_32_S,,,13/07/2012
1417,5011.540935,4999.272271,99.046585,EL_C3_32_W,,,13/07/2012
1418,5011.530578,4999.962135,98.995544,EL_C3_32_C,,,13/07/2012
1419,5012.918423,5000.512991,99.02623,EL_D3_32_N,,,13/07/2012
1420,5012.377002,5001.204115,99.012338,EL_D3_32_E,,,13/07/2012
