Name,Northing,Easting,Elevation,Description,Date Taken
2920,5010.755417,4985.47404,100.515235,CHECK190712,19/07/2012
2921,5011.65136,4999.233086,99.122801,PF_C4_28_L1712,19/07/2012
2922,5012.462585,5002.543352,99.19332,SL_E2_29_E,19/07/2012
2923,5011.743455,5002.007171,99.218348,SL_E2_29_S,19/07/2012
2924,5012.398868,5001.226199,99.270127,SL_E2_29_W,19/07/2012
2925,5012.449795,5001.920113,99.188903,SL_E2_29_C,19/07/2012
2926,5012.168482,4999.150432,99.338401,PF_C4_28_C14X225,19/07/2012
2927,5013.064086,5001.838348,99.174252,EL_E2_29A_N,19/07/2012
2928,5012.47063,5002.586693,99.111598,EL_E2_29A_E,19/07/2012
2929,5011.743687,5001.963989,99.169259,EL_E2_29A_S,19/07/2012
2930,5012.38668,5001.262746,99.174276,EL_E2_29_W,19/07/2012
2931,5012.469551,5001.988433,99.1449,EL_E2_29_C,19/07/2012
2932,5011.802838,4999.264228,99.330558,EL_C4_29_GS49,19/07/2012
2933,5012.5043,5002.575329,99.058847,EL_E2_30A_E,19/07/2012
2934,5012.45242,5001.930462,99.088381,EL_E2_30_C,19/07/2012
2935,5012.208277,5001.764524,99.060963,PF_E2_31_L1713,19/07/2012
2936,5012.25547,5002.032882,99.049708,PF_E2_31A_L1714,19/07/2012
2937,5012.470886,5001.720031,99.072326,PF_E2_31_HM375,19/07/2012
2938,5013.073399,5001.849311,99.075295,EL_E2_31A_N,19/07/2012
2939,5012.481791,5002.580319,99.007471,EL_E2_31A_E,19/07/2012
2940,5011.725397,5001.939857,99.056704,EL_E2_31A_S,19/07/2012
2941,5012.377958,5001.240259,99.103243,EL_E2_31A_W,19/07/2012
2942,5012.451758,5001.929302,99.052016,EL_E2_31_C,19/07/2012
2943,5009.581864,5000.024518,98.373766,PF_B2_50_R71,19/07/2012
2944,5009.710996,5000.059101,98.303621,PF_B2_50_R71,19/07/2012
2945,5009.670545,4999.938603,98.2599,PF_B2_50_R71,19/07/2012
2946,5009.577239,4999.871815,98.20117,PF_B2_50_R71,19/07/2012
2947,5009.536304,5000.032746,98.196525,PF_B2_50_R71,19/07/2012
2948,5009.542213,4999.97349,98.143898,PF_B2_50_R71,19/07/2012
2949,5009.590749,4999.918961,98.165467,PF_B2_50_R71,19/07/2012
2950,5012.18348,4999.583009,99.218918,PF_C4_32_L1715,19/07/2012
2951,5013.080255,5001.847394,99.029391,EL_E2_32_N,19/07/2012
2952,5012.481087,5002.578218,98.971221,EL_E2_32A_E,19/07/2012
2953,5011.760117,5001.966728,98.993524,EL_E2_32A_S,19/07/2012
2954,5012.382678,5001.243477,99.057317,EL_E2_32_W,19/07/2012
2955,5012.438718,5001.93704,99.002978,EL_E2_32_C,19/07/2012
2956,5012.237922,5001.952204,98.994316,PF_E2_32A_L1718,19/07/2012
2957,5010.716577,4999.858424,98.122156,EL_B2_50_N,19/07/2012
2958,5010.135333,5000.609337,98.119647,EL_B2_50_E,19/07/2012
2959,5009.42365,4999.928831,98.132221,EL_B2_50_S,19/07/2012
2960,5009.979468,5000.006015,98.120658,EL_B2_50_C,19/07/2012
2961,5012.396847,4998.949589,99.191029,PF_C4_32_L1718,19/07/2012
2962,5012.609654,4999.028926,99.186285,PF_C4_32_L1719,19/07/2012
2963,5011.673303,4999.066534,99.250841,PF_C4_32_L1720,19/07/2012
2964,5012.84491,4999.141533,99.184993,EL_C4_32_N,19/07/2012
2965,5012.294089,4999.797982,99.209734,EL_C4_32_E,19/07/2012
2966,5011.606484,4999.191243,99.229021,EL_C4_32_S,19/07/2012
2967,5012.287457,4998.497664,99.197939,EL_C4_32_W,19/07/2012
2968,5012.242335,4999.187799,99.20314,EL_C4_32_C,19/07/2012
2969,5012.17347,5002.131511,98.946766,P_E2_33A_C14X209,19/07/2012
2970,5011.996105,5002.053316,98.956333,P_E2_33A_ART27,19/07/2012
2971,5011.851957,5001.827447,99.008265,PF_E2_33A_HM376,19/07/2012
2972,5012.742085,4999.259309,99.165984,PF_C4_33_L1721,19/07/2012
2973,5011.699088,4998.998561,99.197613,PF_C4_33_AF29,19/07/2012
2974,5011.984249,4998.812414,99.19829,PF_C4_33_L1722,19/07/2012
2975,5013.071984,5001.845885,98.987395,EL_E2_33A_N,19/07/2012
2976,5012.481199,5002.587083,98.922777,EL_E2_33A_E,19/07/2012
2977,5011.803822,5001.957273,98.956877,EL_E2_33A_S,19/07/2012
2978,5012.386489,5001.258229,99.002753,EL_E2_33_W,19/07/2012
2979,5012.423196,5001.977223,98.960447,EL_E2_33_W,19/07/2012
2980,5012.127286,4998.760977,99.165995,PF_C4_33_L1723,19/07/2012
2981,5010.761213,4999.872301,98.040004,EL_B2_51_N,19/07/2012
2982,5010.15157,5000.557527,98.039449,EL_B2_51_E,19/07/2012
2983,5009.482312,4999.896519,98.036506,EL_B2_51_S,19/07/2012
2984,5010.078002,5000.022771,98.039737,EL_B2_51_C,19/07/2012
2985,5012.246627,4999.780087,99.177096,EL_C4_33_E,19/07/2012
2986,5011.582456,4999.210748,99.192642,EL_C4_33_S,19/07/2012
2987,5012.241301,4999.231027,99.160442,EL_C4_33_C,19/07/2012
2988,5012.269735,4998.584842,99.161196,EL_C4_33_W,19/07/2012
2989,5012.854529,4999.164504,99.154477,EL_C4_33_N,19/07/2012
2990,5012.405633,5001.453162,98.953146,P_E2_34_L1724,19/07/2012
2991,5012.431583,5001.336493,98.958046,P_E2_34_C14X228,19/07/2012
2992,5013.083455,5001.836383,98.931071,EL_E2_34_N,19/07/2012
2993,5012.483783,5002.581782,98.869986,EL_E2_34A_E,19/07/2012
2994,5011.735845,5001.959894,98.896888,EL_E2_34A_S,19/07/2012
2995,5012.370855,5001.213682,98.942662,EL_E2_34_W,19/07/2012
2996,5012.475045,5001.957896,98.913744,EL_E2_34_C,19/07/2012
2997,5009.589759,5000.760184,98.283462,P_B1_51_R72,19/07/2012
2998,5009.565086,5000.459169,98.284208,P_B1_51_R72,19/07/2012
2999,5009.43453,5000.673421,98.170902,P_B1_51_R72,19/07/2012
3000,5009.627753,5000.609666,98.19452,P_B1_51_R72,19/07/2012
3001,5009.53769,5000.631178,98.068586,P_B1_51_R72,19/07/2012
3002,5012.31436,4998.959528,99.129785,P_C4_34_L1725,19/07/2012
3003,5010.141968,5000.618491,98.037296,EL_B1_51A_N,19/07/2012
3004,5009.414513,4999.945779,98.083391,EL_B1_51_W,19/07/2012
3005,5008.821654,5000.59508,98.078692,EL_B1_51_S,19/07/2012
3006,5009.287964,5000.680644,98.073246,EL_B1_51_C,19/07/2012
3007,5009.494487,5001.235865,98.089656,EL_B1_51_E,19/07/2012
3008,5012.277721,4999.497655,99.152004,P_C4_34_L1726,19/07/2012
3009,5013.077224,5001.850167,98.879132,EL_E2_35A_N,19/07/2012
3010,5012.470697,5002.602603,98.803019,EL_E2_35A_E,19/07/2012
3011,5011.808424,5001.95846,98.866933,EL_E2_35A_S,19/07/2012
3012,5012.401852,5001.237257,98.892976,EL_E2_35_W,19/07/2012
3013,5012.432024,5001.926983,98.861545,EL_E2_35_C,19/07/2012
3014,5012.25959,4999.79636,99.159206,EL_C4_34_E,19/07/2012
3015,5011.655756,4999.175872,99.155606,EL_C4_34_S,19/07/2012
3016,5012.225848,4999.270632,99.14426,EL_C4_34_C,19/07/2012
3017,5012.230966,4998.570535,99.13004,EL_C4_34_W,19/07/2012
3018,5012.827278,4999.151253,99.109715,EL_C4_34_N,19/07/2012
3019,5012.250088,5001.4071,98.859254,P_E2_36_AF30,19/07/2012
3020,5012.190393,5001.644356,98.84854,P_E2_36_L1727,19/07/2012
3021,5013.07894,5001.856771,98.814187,EL_E2_36_N,19/07/2012
3022,5012.49697,5002.562212,98.765016,EL_E2_36A_E,19/07/2012
3023,5011.778796,5001.940012,98.806263,EL_E2_36A_S,19/07/2012
3024,5012.378419,5001.247995,98.856831,EL_E2_36_W,19/07/2012
3025,5012.483015,5001.850455,98.805093,EL_E2_36_C,19/07/2012
3026,5012.03785,5002.036781,98.779283,P_E2_36A_1728,19/07/2012
CP1,5016,5006,100.37,control point,19/07/2012
TBM03,5020,5003,100.795,TBM03,19/07/2012
TBM04,5009,4996,100.754,TBM04,19/07/2012
TBM05,5013.6044,4998.203,100.753,TBM05,19/07/2012
