Name,Y,X,Elevation,Description,Date Taken
1616,5011.253439,4985.531887,100.530547,CHECK 060712,6/07/2012
1617,5011.422166,5001.701711,100.060116,PF_D2_15_L507,6/07/2012
1618,5012.136043,5002.12918,100.016103,PF_E2_15_L508,6/07/2012
1619,5011.448701,5001.453509,100.030241,PF_D2_15_L509,6/07/2012
1620,5011.294217,5001.17545,100.043409,PF_D2_15_L510,6/07/2012
1621,5011.391649,5001.72131,100.031648,PF_D2_15_L511,6/07/2012
1622,5012.289851,5002.333008,99.961709,PF_E2_15_HM121,6/07/2012
1623,5011.304597,5001.551959,100.038862,PF_D2_15_HM122,6/07/2012
1624,5011.043077,5001.209145,100.032514,PF_D2_15_HM123,6/07/2012
1625,5011.345891,5001.867116,100.037432,PF_D2_15_L512,6/07/2012
1626,5012.315086,5002.438947,99.962206,PF_E2_15_L513,6/07/2012
1627,5011.276695,5001.560563,100.037045,PF_D2_15_L514,6/07/2012
1628,5011.271978,5001.623743,100.011044,PF_D2_15_L515,6/07/2012
1629,5011.146977,5001.420848,100.026786,PF_D2_15_L516,6/07/2012
1630,5011.144875,5001.351468,100.000575,PF_D2_15_L517,6/07/2012
1631,5012.827827,5001.974632,100.035514,EL_E2_15_N,6/07/2012
1632,5012.271228,5002.703397,99.951772,EL_E2_15_E,6/07/2012
1633,5011.653066,5001.790975,100.007775,EL_E2_15_S,6/07/2012
1634,5012.260622,5001.281605,100.007292,EL_E2_15_W,6/07/2012
1635,5012.219135,5001.814989,99.997709,EL_E2_15_C,6/07/2012
1636,5012.20873,5001.278139,100.014365,EL_D2_15_N,6/07/2012
1637,5011.313959,5001.929005,99.967255,EL_D2_15_E,6/07/2012
1638,5010.813581,5001.226269,99.99791,EL_D2_15_S,6/07/2012
1639,5011.547526,5000.582407,100.039762,EL_D2_15_W,6/07/2012
1640,5011.559162,5001.219744,100.01166,EL_D2_15_C,6/07/2012
1641,5011.548316,5002.12067,100.146252,PF_E2_10A_L518,6/07/2012
1642,5011.957391,5002.384553,100.128443,EL_E2_10A_E,6/07/2012
1643,5011.485109,5001.856836,100.15787,EL_E2_10A_S,6/07/2012
1644,5012.65446,5000.277542,100.035461,PF_D4_16_C14X71,6/07/2012
1645,5011.7168,5002.360679,100.183826,EL_E1_10_C,6/07/2012
1646,5011.613664,5002.407177,100.162972,PF_E1_11_HM124,6/07/2012
1647,5011.66019,5002.497755,100.1365,PF_E1_11_HM125,6/07/2012
1648,5011.83108,5002.445816,100.157896,PF_E1_11_HM126,6/07/2012
1649,5011.645652,5002.326569,100.157981,PF_E1_11_L519,6/07/2012
1650,5011.801525,5002.464914,100.12368,PF_E1_11_HM127,6/07/2012
1651,5011.659664,5002.512427,100.107649,PF_E1_11_HM128,6/07/2012
1652,5012.391813,5000.446938,99.985808,PF_D3_16_C14X72,6/07/2012
1653,5011.679171,5002.478825,100.11167,EL_E1_11_C,6/07/2012
1654,5012.235309,5000.447366,100.063392,PF_D3_16_R57,6/07/2012
1655,5012.295294,5000.43128,100.023321,PF_D3_16_R57,6/07/2012
1656,5012.339115,5000.482292,100.026471,PF_D3_16_R57,6/07/2012
1657,5012.295367,5000.531671,100.077329,PF_D3_16_R57,6/07/2012
1658,5012.200496,5000.466723,100.052293,PF_D3_16_R57,6/07/2012
1659,5012.264564,5000.534093,100.045005,,6/07/2012
1660,5012.300115,5000.500934,99.986492,PF_D3_16_R57,6/07/2012
1661,5012.266904,5000.469628,99.997146,PF_D3_16_R57,6/07/2012
1662,5012.276329,5000.476318,99.999623,PF_D3_16_R57,6/07/2012
