Name,Northing,Easting,Elevation,Description,Date Taken
1862,5010.756749,4985.480536,100.435038,CHECK150712,15/07/2012
1863,5010.253151,5000.777837,98.797446,PF_C1_35_HM330,15/07/2012
1864,5010.265619,5000.91535,98.835022,PF_C1_35_L1436,15/07/2012
1865,5010.795513,5000.141378,98.822652,PF_C2_35B_L1437,15/07/2012
1866,5010.693372,5000.293179,98.82831,PF_C2_35B_HM331,15/07/2012
1867,5011.562929,5000.57153,98.845828,EL_C2_35_N,15/07/2012
1868,5010.872622,5001.305391,98.810715,EL_C2_35A_E,15/07/2012
1869,5010.164358,5000.654193,98.790108,EL_C2_35A_S,15/07/2012
1870,5010.853272,5000.056093,98.829636,EL_C2_35B_W,15/07/2012
1871,5010.946335,5000.614997,98.818167,EL_C2_35_C,15/07/2012
1872,5010.77946,5001.275813,98.794611,PF_C1_35_GS34,15/07/2012
1873,5011.249419,5001.726059,98.819863,PF_D1_35_L1438,15/07/2012
1874,5010.173115,5000.940999,98.81711,PF_C1_35_L1439,15/07/2012
1875,5010.16577,5001.106921,98.803984,PF_C1_35_C14X187,15/07/2012
1876,5011.209422,5001.715199,98.821038,PF_D1_35_L1440,15/07/2012
1877,5011.149002,5001.780544,98.825933,PF_D1_35_AF19,15/07/2012
1878,5011.01025,5001.557865,98.857903,PF_D1_35_GS35,15/07/2012
1879,5011.223103,5001.784106,98.806537,PF_D1_35_L1441,15/07/2012
1880,5010.79832,5001.744536,98.835075,PF_D1_35_L1442,15/07/2012
1881,5010.666977,5001.59552,98.800764,PF_D1_35_L1443,15/07/2012
1882,5010.803307,5001.40596,98.806786,PF_D1_35_L1444,15/07/2012
1883,5010.907775,5001.346644,98.81228,PF_D1_35_L1445,15/07/2012
1884,5011.603009,5001.970589,98.809662,EL_D1_35_N,15/07/2012
1885,5010.900532,5001.348242,98.812299,EL_D1_35_W,15/07/2012
1886,5010.622131,5001.740923,98.801956,EL_D1_35_S,15/07/2012
1887,5010.403922,5001.072159,98.779099,PF_C1_35_HM332,15/07/2012
1888,5010.170499,5000.928496,98.789608,PF_C1_35_AXE7,15/07/2012
1889,5010.182875,5000.910556,98.790386,PF_C1_35_AXE7,15/07/2012
1890,5010.155409,5000.843584,98.829336,PF_C1_35_AXE7,15/07/2012
1891,5010.109307,5000.834201,98.818787,PF_C1_35_AXE7,15/07/2012
1892,5010.107243,5000.894543,98.810506,PF_C1_35_AXE7,15/07/2012
1893,5010.137869,5000.895818,98.802511,PF_C1_35_AXE7,15/07/2012
1894,5010.132523,5000.98493,98.81422,PF_C1_35_AXE8,15/07/2012
