Name,Y,X,Elevation,Description,Date Taken
2428,5011.271288,4985.531896,100.526971,CHECK9712,9/07/2012
2429,5013.286699,5000.842838,99.685104,PF_E4_22_L736,9/07/2012
2430,5013.246351,5000.82068,99.646505,PF_E4_22_C14X113,9/07/2012
2431,5010.674521,4998.785812,99.608356,PF_B3_22_L737,9/07/2012
2432,5013.475361,5000.907461,99.664627,PF_E4_22_L738,9/07/2012
2433,5011.493121,4999.344654,99.641462,EL_B3_22_N,9/07/2012
2434,5010.759268,5000.032306,99.624824,EL_B3_22_E,9/07/2012
2435,5010.81367,4998.637255,99.623219,EL_B3_22_W,9/07/2012
2436,5010.770451,4999.272433,99.639859,EL_B3_22_C,9/07/2012
2437,5012.772631,4999.29473,99.61967,EL_C4_23_N,9/07/2012
2438,5012.159302,4999.97966,99.617886,EL_C4_23_E,9/07/2012
2439,5011.556237,4999.314621,99.593203,EL_C4_23_S,9/07/2012
2440,5012.234492,4998.681939,99.605177,EL_C4_23_W,9/07/2012
2441,5012.218734,4999.368,99.621242,EL_C4_23_C,9/07/2012
2442,5010.477986,5000.698877,99.56749,PF_C2_23A_GS7,9/07/2012
2443,5011.283148,4999.269358,99.600735,PF_B3_23_L766,9/07/2012
2444,5011.504463,4999.325639,99.600485,EL_B3_23_N,9/07/2012
2445,5010.772118,5000.022672,99.576341,EL_B3_23_E,9/07/2012
2446,5010.84902,4998.620902,99.572883,EL_B3_23_W,9/07/2012
2447,5010.871412,4999.297634,99.586686,EL_B3_23_C,9/07/2012
2448,5010.73357,5001.020839,99.55841,PF_C2_23A_L771,9/07/2012
2449,5010.750703,5001.13805,99.568643,PF_C2_23A_L772,9/07/2012
2450,5010.753245,5001.229569,99.561441,PF_C2_23A_HM193,9/07/2012
2451,5011.975705,5001.346341,99.573866,PF_D2_23_L773,9/07/2012
2452,5011.898503,5001.54883,99.582506,PF_D2_23_L774,9/07/2012
2453,5012.241456,5002.459927,99.52738,PF_E2_23_L775,9/07/2012
2454,5011.905563,5002.299465,99.517735,PF_E2_23_L776,9/07/2012
2455,5011.714658,5002.122838,99.544728,PF_E2_23_O12,9/07/2012
2456,5011.801805,5001.859847,99.596857,PF_E2_23_HM194,9/07/2012
2457,5011.531053,5000.891188,99.602558,PF_D2_23_L777,9/07/2012
2458,5012.021378,5002.506162,99.513392,PF_E2_23_R56,9/07/2012
2459,5012.075183,5002.376161,99.566411,PF_E2_23_L778,9/07/2012
2460,5011.507891,5002.125264,99.533869,PF_E2_23_HM195,9/07/2012
2461,5012.261451,5002.701462,99.485887,PF_E2_23_L781,9/07/2012
2462,5012.093509,5002.614795,99.512996,PF_E2_23_L782,9/07/2012
2463,5012.05975,5002.483196,99.492253,PF_E2_23_L783,9/07/2012
2464,5012.101451,5002.65621,99.491324,PF_E2_23_L791,9/07/2012
2465,5010.624283,5000.322919,99.565903,PF_C2_23_L792,9/07/2012
2466,5010.606236,5000.494645,99.570582,PF_C2_23_L793,9/07/2012
2467,5010.423159,5000.464971,99.527987,PF_C2_23_L794,9/07/2012
2468,5011.71573,5001.233746,99.577038,PF_D2_23_HM198,9/07/2012
2469,5011.251651,5001.217602,99.571272,PF_D2_23_L795,9/07/2012
2470,5011.524903,5002.355358,99.483233,PF_E1_23_L796,9/07/2012
2471,5011.458802,5002.280895,99.504464,PF_E1_23_L797,9/07/2012
2472,5011.628673,5002.410785,99.482443,PF_E1_23_HM199,9/07/2012
2473,5011.749003,5002.557173,99.496375,PF_E1_23_L798,9/07/2012
2474,5011.63909,5002.557815,99.47897,PF_E1_23_L799,9/07/2012
2475,5010.303351,5000.260851,99.543149,PF_B2_23_HM201,9/07/2012
2476,5011.596881,5001.738486,99.537722,PF_D2_23_L800,9/07/2012
2477,5011.208174,5001.250921,99.573566,PF_D2_23_L800,9/07/2012
2478,5011.52902,5001.434361,99.566802,PF_D2_23_HM202,9/07/2012
2479,5011.434365,5002.214377,99.49232,PF_E1_23_L803,9/07/2012
2480,5011.516703,5002.423318,99.470138,PF_E1_23_L804,9/07/2012
2481,5011.563436,5002.471406,99.464382,PF_E1_23_L805,9/07/2012
2482,5011.515697,5002.423987,99.468005,PF_E1_23_L806,9/07/2012
2483,5011.658673,5002.587795,99.443005,PF_E1_23_L807,9/07/2012
2484,5011.192316,5001.363122,99.599792,PF_D2_23_HM203,9/07/2012
2485,5011.190763,5001.430455,99.628928,PF_D2_23_HM203,9/07/2012
2486,5011.142728,5001.40831,99.611046,PF_D2_23_HM203,9/07/2012
2487,5011.161051,5001.453294,99.600375,PF_D2_23_HM203,9/07/2012
2488,5011.190406,5001.372395,99.570234,PF_D2_23_HM203,9/07/2012
2489,5011.142532,5001.413411,99.586762,PF_D2_23_HM203,9/07/2012
2490,5011.190739,5001.433779,99.579164,PF_D2_23_HM203,9/07/2012
2491,5011.155799,5001.462072,99.585291,PF_D2_23_HM203,9/07/2012
2492,5011.307049,5001.496866,99.548195,PF_D2_23_L808,9/07/2012
2493,5011.230407,5001.654082,99.526592,PF_D2_23_L809,9/07/2012
2494,5012.206467,5002.768952,99.475659,EL_E1_23_N,9/07/2012
2495,5011.479923,5002.128899,99.518962,EL_E1_23_W,9/07/2012
2496,5010.973408,5001.459695,99.543029,PF_D2_23_L810,9/07/2012
2497,5011.344975,5002.042912,99.515102,PF_D1_23_L811,9/07/2012
2498,5011.210497,5001.912504,99.532176,PF_D1_23_L812,9/07/2012
2499,5011.102419,5001.480634,99.542111,PF_D2_23_HM204,9/07/2012
2500,5011.165131,5001.522799,99.530854,PF_D2_23_L813,9/07/2012
2501,5011.364514,5002.2208,99.466847,PF_D1_23_L814,9/07/2012
2502,5011.287272,5001.996286,99.497795,PF_D1_23_HM205,9/07/2012
