Name,Y,X,Elevation,Description,Date Taken
1897,5011.268926,4985.522604,100.533036,CHECK 070712,7/07/2012
1898,5011.045825,5001.346297,99.924691,PF_D2_17_L574,7/07/2012
1899,5010.989771,5001.270188,99.913937,PF_D2_17_L575,7/07/2012
1900,5010.921383,5001.262,99.915757,PF_D2_17_L576,7/07/2012
1901,5011.60489,5001.96955,99.908815,PF_D2_17_HB558,7/07/2012
1902,5010.75887,5000.908993,99.832876,PF_C2_17_L583,7/07/2012
1903,5011.192959,5000.693899,99.829711,PF_C2_17_L584,7/07/2012
1904,5012.077434,5002.418446,99.787854,PF_E2_17_L585,7/07/2012
1905,5011.423858,5001.554972,99.877676,PF_D2_17_SF37,7/07/2012
1906,5011.301237,5000.709281,99.915936,EL_C2_17_N,7/07/2012
1907,5010.746037,5000.135749,99.913252,EL_C2_17_W,7/07/2012
1908,5010.78403,5000.686513,99.90735,EL_C2_17_C,7/07/2012
1909,5010.834218,5001.118529,99.898494,EL_C2_17_E,7/07/2012
1910,5012.153137,5001.409804,99.903692,EL_D2_17_N,7/07/2012
1911,5011.505298,5002.094099,99.864946,EL_D2_17_E,7/07/2012
1912,5010.894737,5001.269697,99.888393,EL_D2_17_S,7/07/2012
1913,5011.381045,5000.766893,99.910868,EL_D2_17_W,7/07/2012
1914,5011.46563,5001.445422,99.89221,EL_D2_17_C,7/07/2012
1915,5011.520652,5001.723567,99.88369,PF_D2_17_L587,7/07/2012
1916,5012.20969,5002.7163,99.838356,EL_E2_17_E,7/07/2012
1917,5011.520658,5002.087583,99.868249, EL_E2_17_S,7/07/2012
1918,5012.198291,5002.074652,99.871165,EL_E2_17_C,7/07/2012
1919,5012.300694,5002.62782,99.852476,PF_E2_17A_SF38,7/07/2012
1920,5012.152727,5002.522474,99.863938,PF_E2_17A_SF38,7/07/2012
1921,5011.924898,5002.415674,99.860588,PF_E2_17A_SF38,7/07/2012
1922,5011.725702,5002.356437,99.854451,PF_E2_17A_SF38,7/07/2012
1923,5011.541859,5000.105587,99.956208,PF_C3_17_C14X76,7/07/2012
1924,5011.061235,5000.091883,99.905263,PF_C3_17_L588,7/07/2012
1925,5013.038288,5001.275745,99.908959,PF_E3_17_C14X77,7/07/2012
1926,5012.010949,5000.710765,99.920848,PF_D3_17_HM153,7/07/2012
1927,5012.861457,5000.732631,99.919427,EL_D3_17_N,7/07/2012
1928,5012.176643,5001.41336,99.913656,EL_D3_17_E,7/07/2012
1929,5011.444858,5000.731014,99.91911,EL_D3_17_S,7/07/2012
1930,5012.207764,5000.046405,99.931787,EL_D3_17_W,7/07/2012
1931,5012.090217,5000.773437,99.915182,EL_D3_17_C,7/07/2012
1932,5010.361598,5000.248112,99.91123,PF_B2_17_L589,7/07/2012
1933,5013.597007,5000.971049,99.895424,PF_E4_17_L590,7/07/2012
1934,5011.766664,4999.421504,99.955552,PF_C4_17_C14X78,7/07/2012
1935,5013.644329,5000.947653,99.913758,PF_E4_17_L591,7/07/2012
1936,5010.715234,5000.029395,99.92416,EL_B2_17_ N,7/07/2012
1937,5010.346692,5000.306134,99.905603,EL_B2_17_E,7/07/2012
1938,5012.784864,4999.332976,99.937255,EL_C4_17_N,7/07/2012
1939,5012.143715,5000.010023,99.933424,EL_C4_17_E,7/07/2012
1940,5011.573699,4999.37023,99.926014,EL_C4_17_S,7/07/2012
