Name,Y,X,Elevation,Description,Date Taken
1151,5011.272803,4985.52315,100.533812,CHECK020712,2/07/2012
1152,5011.452019,5001.457552,100.129633,PF_D2_14_HM99,2/07/2012
1153,5012.036541,5002.210696,100.102653,PF_E2_14_HM100,2/07/2012
1154,5011.299347,4999.668734,100.123657,PF_C3_S18_C14X60,2/07/2012
1155,5011.405266,5001.625277,100.092501,PF_D2_14_L358,2/07/2012
1156,5011.5367,5001.805814,100.132868,PF_D2_14_L359,2/07/2012
1157,5011.449311,5001.649701,100.094972,PF_D2_14_L360,2/07/2012
1158,5011.40693,5001.747602,100.121465,PF_D2_14_L361,2/07/2012
1159,5011.384656,5001.766686,100.126872,PF_D2_14_L362,2/07/2012
1160,5011.639187,5001.49495,100.063467,PF_D2_14_L363,2/07/2012
1161,5011.2897,5001.641207,100.076053,PF_D2_14_L364,2/07/2012
1162,5011.127055,4999.560992,100.136393,PF_C3_SR18_HB641,2/07/2012
1163,5011.759076,5001.74616,100.076487,PF_D2_14_L365,2/07/2012
1164,5012.016417,5001.812623,100.068769,PF_E2_14_L366,2/07/2012
1165,5012.36047,5002.36273,100.05043,PF_E2_14_SH17,2/07/2012
1166,5011.314798,5001.732504,100.068564,PF_D2_14_L367,2/07/2012
1167,5011.351497,5001.855183,100.071729,PF_D2_14_L368,2/07/2012
1168,5011.350645,4999.671285,100.134891,PF_C3_SR18,2/07/2012
1169,5011.191052,4999.901601,100.128505,PF_C3_SR18,2/07/2012
1170,5011.100048,4999.789296,100.154256,PF_C3_SR18,2/07/2012
1171,5010.959713,4999.621901,100.108223,PF_C3_SR18,2/07/2012
1172,5011.07827,4999.432656,100.109108,PF_C3_SR18,2/07/2012
1173,5011.196303,4999.568151,100.097977,PF_C3_SR18,2/07/2012
1174,5011.226419,4999.851773,100.170316,PF_C3_SR18_FMP,2/07/2012
1175,5011.05291,4999.64046,100.166277,PF_C3_SR18_FMD,2/07/2012
1176,5011.071825,4999.660361,100.177668,PF_C3_SR18_TEETH,2/07/2012
1177,5011.041754,4999.549195,100.203314,PF_C3_SR18_CRAN,2/07/2012
1178,5012.211508,5001.365679,100.07526,EL_D2_14_N,2/07/2012
1179,5011.660865,5001.829356,100.065777,EL_D2_14_E,2/07/2012
1180,5011.09153,5001.259712,100.074325,EL_D2_14_S,2/07/2012
1181,5011.512704,5000.762593,100.095201,EL_D2_14_W,2/07/2012
1182,5011.572165,5001.405232,100.065557,EL_D2_14_C,2/07/2012
1183,5012.874568,5001.994384,100.080372,EL_E2_14_N,2/07/2012
1184,5012.338834,5002.648662,100.067853,EL_E2_14_E,2/07/2012
1185,5011.848748,5001.885571,100.058339,EL_E2_14_S,2/07/2012
1186,5012.213173,5001.427095,100.08155,EL_E2_14_W,2/07/2012
1187,5012.83893,5002.002203,100.086103,EL_E2_14,2/07/2012
1188,5012.688857,5001.946918,100.088576,EL_E2_14,2/07/2012
1189,5012.561513,5001.75392,100.082024,EL_E2_14,2/07/2012
1190,5012.341351,5001.781008,100.078885,EL_E2_14,2/07/2012
1191,5012.24355,5001.952896,100.074642,EL_E2_14,2/07/2012
1192,5012.066011,5001.998132,100.071625,EL_E2_14,2/07/2012
1193,5012.539897,5002.435206,100.07517,EL_E2_14,2/07/2012
1194,5012.309043,5002.194282,100.069652,EL_E2_14,2/07/2012
1195,5012.219296,5002.125902,100.067821,EL_E2_14,2/07/2012
1196,5012.144128,5002.353898,100.058113,EL_E2_14,2/07/2012
1197,5012.19135,5002.444014,100.053318,EL_E2_14,2/07/2012
1198,5012.570337,5002.39023,100.085465,EL_E2_14A,2/07/2012
1199,5012.556106,5002.302104,100.085103,EL_E2_14A,2/07/2012
1200,5012.359909,5002.163362,100.079138,EL_E2_14A,2/07/2012
1201,5012.267876,5001.986027,100.07477,EL_E2_14A,2/07/2012
