Name,Y,X,Elevation,Description,Date Taken
2558,5011.267125,4985.556385,100.521959,CHECK10712,10/07/2012
2559,5010.750408,5000.990934,99.489265,PF_C2_25A_L915,10/07/2012
2560,5010.538431,5000.767236,99.444243,PF_C2_25A_HM219,10/07/2012
2561,5012.065187,5002.474431,99.398007,PF_E2_25A_L916,10/07/2012
2562,5012.059889,5002.524841,99.396897,PF_E2_25A_L917,10/07/2012
2563,5010.98844,5001.077782,99.475547,PF_C2_25A_L925,10/07/2012
2564,5010.703264,5000.95898,99.469018,PF_C2_25A_L926,10/07/2012
2565,5010.595259,5000.902465,99.450054,PF_C2_25A_L927,10/07/2012
2566,5010.582936,5000.770722,99.441982,PF_C2_25A_L928,10/07/2012
2567,5010.476472,5000.802042,99.445168,PF_C2_25A_L929,10/07/2012
2568,5010.531817,5000.88412,99.450428,PF_C2_25A_HM223,10/07/2012
2569,5010.468072,5000.786499,99.449655,PF_C2_25A_HM224,10/07/2012
2570,5010.565238,5000.770226,99.437665,PFC2_25A_C14X129,10/07/2012
2571,5012.52263,5002.333377,99.428319,PF_E2_25A_L930,10/07/2012
2572,5012.24574,5002.735623,99.389961,EL_E2_25B_E,10/07/2012
2573,5011.543265,5001.036481,99.46935,PF_D2_25_L931,10/07/2012
2574,5011.172937,5001.216416,99.492813,PF_D2_25_L932,10/07/2012
2575,5011.415555,5001.344661,99.467614,PF_D2_25_L933,10/07/2012
2576,5011.473868,5001.309965,99.467389,PF_D2_25_HM225,10/07/2012
2577,5011.800014,5001.082016,99.474011,PF_D2_25_L934,10/07/2012
2578,5010.736641,5001.021904,99.460636,PF_C2_25A_L935,10/07/2012
2579,5011.493886,4999.335354,99.502446,EL_B3_25_N,10/07/2012
2580,5010.786433,4999.967155,99.473003,EL_B3_25_E,10/07/2012
2581,5010.831015,4998.658249,99.459443,EL_B3_25_W,10/07/2012
2582,5010.873675,4999.418042,99.476445,EL_B3_25_C,10/07/2012
2583,5011.77364,5002.367116,99.379182,PF_E1_25_C14X130,10/07/2012
2584,5011.715047,5002.365422,99.39122,PF_E1_25_L936,10/07/2012
2585,5011.605005,5002.241005,99.392942,PF_E1_25_L937,10/07/2012
2586,5011.368638,5001.03662,99.161301,PF_D2_25_L938,10/07/2012
2587,5011.358402,5001.086419,99.156059,PF_D2_25_L939,10/07/2012
2588,5011.499784,5001.362548,99.151149,PF_D2_25_L940,10/07/2012
2589,5011.609931,5001.413434,99.150078,PF_D2_25_L941,10/07/2012
2590,5011.48054,5001.199996,99.142737,PF_D2_25_HM226,10/07/2012
2591,5011.758092,5001.207349,99.157063,PF_D2_25_HM227,10/07/2012
2592,5011.654859,5002.310291,99.376873,PF_E1_25_L942,10/07/2012
2593,5011.525148,5002.227247,99.395399,PF_E1_25_L943,10/07/2012
2594,5011.579487,5002.284496,99.396764,PF_E1_25_HM228,10/07/2012
2595,5010.891805,5001.037612,99.453543,PF_C2_25A_L944,10/07/2012
2596,5011.452479,5000.723626,99.485138,EL_C2_25_N,10/07/2012
2597,5010.784306,5000.058709,99.4557,EL_C2_25_W,10/07/2012
2598,5010.811992,5000.713789,99.461873,EL_C2_25_C,10/07/2012
2599,5010.583898,5000.984961,99.439825,EL_C2_25A_S,10/07/2012
2600,5011.419523,5002.294124,99.370181,PF_E1_25_L945,10/07/2012
2601,5011.436609,5002.354751,99.373005,PF_E1_25_HM229,10/07/2012
2602,5012.205069,5002.771607,99.392833,EL_E1_25_N,10/07/2012
2603,5011.505746,5002.130494,99.396472,EL_E1_25_W,10/07/2012
2604,5011.500324,5001.705044,99.450012,PF_D2_25_L951,10/07/2012
2605,5010.488145,5000.121265,99.460886,PF_B2_25_L952,10/07/2012
2606,5011.239797,5001.523463,99.447293,PF_D2_25A_HM230,10/07/2012
2607,5011.058078,5001.40319,99.430924,PF_D2_25A_G212,10/07/2012
2608,5011.338618,5002.050988,99.430112,PF_D1_25_L953,10/07/2012
2609,5011.174743,5001.605867,99.457243,PF_D2_25A_L954,10/07/2012
2610,5011.149436,5001.660179,99.452675,PF_D2_25A_L955,10/07/2012
2611,5011.092274,5001.67985,99.44264,PF_D2_25A_L956,10/07/2012
2612,5011.516027,5001.950929,99.430453,PF_D2_25A_L957,10/07/2012
2613,5011.460873,5002.046841,99.45168,PF_D2_25A_HM231,10/07/2012
2614,5011.412169,5001.790433,99.422512,PF_D2_25A_HM232,10/07/2012
2615,5011.139044,5001.553441,99.440061,PF_D2_25A_L958,10/07/2012
2616,5011.573203,5001.815675,99.413855,PF_D2_25A_L959,10/07/2012
2617,5011.228087,5001.711763,99.433833,PF_D2_25A_L960,10/07/2012
2618,5011.563534,5001.787689,99.415183,PF_D2_25A_L961,10/07/2012
2619,5011.326851,5001.724938,99.399701,PF_D2_25A_GS13,10/07/2012
2620,5012.170846,5001.362249,99.458501,EL_D2_25_N,10/07/2012
2621,5011.483549,5002.064576,99.394029,EL_D2_25A_E,10/07/2012
2622,5011.493007,5000.762552,99.480995,EL_D2_25_W,10/07/2012
2623,5011.100703,5001.971663,99.381163,EL_D1_25_C,10/07/2012
2624,5011.263153,5002.105707,99.345911,PF_D1_26_L965,10/07/2012
2625,5011.179246,5002.068463,99.378192,PF_D1_26_L966,10/07/2012
2626,5011.168208,5001.888107,99.364044,PF_D1_26_L967,10/07/2012
2627,5011.217453,5002.072559,99.349217,PF_D1_26_L968,10/07/2012
2628,5011.223816,5002.027466,99.360494,PF_D1_26_HM233,10/07/2012
2629,5012.833246,5001.04395,99.465534,PF_E3_26_L969,10/07/2012
2630,5013.169413,5001.402978,99.436088,PF_E3_26_L970,10/07/2012
2631,5011.403567,5002.110033,99.334183,EL_D1_26_N,10/07/2012
2632,5011.27743,5002.246932,99.301909,EL_D1_26_E,10/07/2012
2633,5011.136846,5002.02384,99.333601,EL_D1_26_C,10/07/2012
2634,5011.680268,5001.411067,99.449717,PF_D2_26_L972,10/07/2012
2635,5011.268507,5001.669235,99.408943,PF_D2_26_L973,10/07/2012
2636,5011.218282,5001.688936,99.374758,PF_D2_26_AF2,10/07/2012
2637,5011.159223,5001.704195,99.370914,PF_D2_26_L974,10/07/2012
2638,5011.480555,5001.986572,99.353055,PF_D2_26_L975,10/07/2012
2639,5011.500339,5001.794146,99.387944,PF_D2_26_L976,10/07/2012
2640,5011.34618,5001.560897,99.404193,PF_D2_26_GS14,10/07/2012
2641,5011.167505,5001.559245,99.439857,PF_D2_26_O14,10/07/2012
2642,5012.740269,5001.863973,99.397816,PF_E3_26_HM235,10/07/2012
2643,5013.476573,5001.313511,99.441067,EL_E3_26_N,10/07/2012
2644,5012.904598,5001.923425,99.415085,EL_E3_26_E,10/07/2012
2645,5012.887636,5001.343532,99.428272,EL_E3_26_C,10/07/2012
2646,5012.199961,5001.376855,99.401835,EL_E3_26A_S,10/07/2012
2647,5012.874245,5000.692565,99.438064,EL_E3_26_W,10/07/2012
2648,5011.032737,5001.189766,99.45578,PF_D2_26_L780,10/07/2012
2649,5011.087667,5001.296039,99.415241,PF_D2_26_L781,10/07/2012
2650,5011.346921,5000.878402,99.441913,PF_D2_26_L782,10/07/2012
2651,5011.784193,5001.431802,99.444944,PF_D2_26_L783,10/07/2012
2652,5011.552532,5001.729276,99.386998,PF_D2_26_L784,10/07/2012
2653,5011.325314,5000.95606,99.439378,PF_D2_26_HM236,10/07/2012
2654,5011.458826,5001.130732,99.451266,PF_D2_26_GS15,10/07/2012
2655,5011.580219,5001.804864,99.394502,PF_D2_26_L985,10/07/2012
2656,5011.105277,5001.320457,99.404369,PF_D2_26_L993,10/07/2012
2657,5011.18387,5001.352466,99.428329,PF_D2_26_L994,10/07/2012
2658,5011.235802,5001.252358,99.423261,PF_D2_26_L994,10/07/2012
2659,5011.530227,5000.966576,99.46024,PF_D2_26_L995,10/07/2012
2660,5011.04796,5001.156989,99.42017,PF_D2_26_GS16,10/07/2012
