Name,Northing,Easting,Elevation,Description,Description_2,Square,Spit,Plotted_Find,PF,Number,,,
525,5011.752193,5001.22236,100.528433,PF_D2_5_HM14,Plotted Finds,D2,5,Haematite,HM,14,,,
526,5011.49052,5000.741696,100.475302,PF_D2_5_HM15,Plotted Finds,D2,5,Haematite,HM,15,,,
529,5011.722297,5000.377716,100.498647,PF_C3_5_HM16,Plotted Finds,C3,5,Haematite,HM,16,,,
535,5011.763156,5001.10304,100.464556,PF_D2_5_HM17,Plotted Finds,D2,5,Haematite,HM,10,,,
557,5011.692328,5001.537717,100.521354,PF_D2_5_HM18,Plotted Finds,D2,5,Haematite,HM,18,,,
611,5012.638252,4999.431906,100.559778,PF_C4_6_HM19,Plotted Finds,C4,6,Haematite,HM,19,,,
712,5011.882587,5000.959754,100.44438,PF_D2_6_HM20,Plotted Finds,D2,6,Haematite,HM,20,,,
747,5011.478295,5000.818341,100.462196,PF_D2_6_HM21,Plotted Finds,D2,6,Haematite,HM,21,,,
774,5012.252822,5000.802085,100.751659,PF_D3_6_HM22,Plotted Finds,D3,6,Haematite,HM,22,,,
806,5011.324736,5000.644739,100.472488,PF_C2_6_HM23,Plotted Finds,C2,6,Haematite,HM,23,,,
823,5011.360883,5000.560437,100.424229,PF_C2_6_HM24,Plotted Finds,C2,6,Haematite,HM,24,,,
889,5012.148394,4999.875208,100.442468,PF_C3_7_HM25,Plotted Finds,C3,7,Haematite,HM,25,,,
914,5011.679859,4999.217971,100.489455,PF_C4_7_HM26,Plotted Finds,C4,7,Haematite,HM,26,,,
959,5012.259438,4999.878138,100.441302,PF_D3_7_HM27,Plotted Finds,D3,7,Haematite,HM,27,,,
1165,5011.762418,4999.599341,100.404604,PF_C3_8_HM28,Plotted Finds,C3,8,Haematite,HM,28,,,
1248,5012.141683,5001.517012,100.385897,PF_E2_8_HM29,Plotted Finds,E2,8,Haematite,HM,29,,,
1318,5011.84176,4998.934612,100.334207,PF_C4_9_HM30,Plotted Finds,C4,9,Haematite,HM,30,,,
1356,5011.165666,4999.956781,100.337706,PF_C3_9_HM31,Plotted Finds,C3,9,Haematite,HM,31,,,
1374,5011.415991,5000.787758,100.332149,PF_D2_9_HM32,Plotted Finds,D2,9,Haematite,HM,32,,,
1409,5011.28418,5001.080552,100.272814,PF_D2_9_HM33,Plotted Finds,D2,9,Haematite,HM,33,,,
43,5011.286093,5000.871592,100.717908,PF_C2_2_HB1,Plotted Finds,C2,2,Human Bone,HB,1,,,
44,5011.06977,5000.694595,100.733051,PF_C2_2_HB2,Plotted Finds,C2,2,Human Bone,HB,2,,,
57,5010.463145,5000.26592,100.642153,PF_B2_2_HB3,Plotted Finds,B2,2,Human Bone,HB,3,,,
121,5011.153454,5000.387125,100.633599,PF_C3_2_HB4,Plotted Finds,C3,2,Human Bone,HB,4,,,
131,5011.656722,5001.438039,100.633703,PF_D2_3_HB5,Plotted Finds,D2,3,Human Bone,HB,5,,,
133,5011.983255,5001.267269,100.611303,PF_D2_3_HB6,Plotted Finds,D2,3,Human Bone,HB,6,,,
134,5011.460044,5001.29,100.671708,PF_D2_3_HB7,Plotted Finds,D2,3,Human Bone,HB,7,,,
135,5011.469865,5001.3033,100.662386,PF_D2_3_HM1,Plotted Finds,D2,3,Human Bone,HB,1,,,
137,5011.466653,5001.28365,100.655573,PF_D2_3_HB8,Plotted Finds,D2,3,Human Bone,HB,8,,,
138,5011.455514,5001.292627,100.65903,PF_D2_3_HB9,Plotted Finds,D2,3,Human Bone,HB,9,,,
139,5011.387751,5001.226695,100.659463,PF_D2_3_HB10,Plotted Finds,D2,3,Human Bone,HB,10,,,
140,5011.346786,5001.209209,100.620837,PF_D2_3A_HB11,Plotted Finds,D2,3A,Human Bone,HB,11,,,
141,5011.400032,5001.259987,100.630117,PF_D2_3A_HB12,Plotted Finds,D2,3A,Human Bone,HB,12,,,
142,5011.456021,5001.297027,100.617526,PF_D2_3A_HB13,Plotted Finds,D2,3A,Human Bone,HB,13,,,
144,5011.566312,5001.481097,100.607989,PF_D2_3A_HB14,Plotted Finds,D2,3A,Human Bone,HB,14,,,
145,5011.870427,5001.262036,100.597399,PF_D2_3_HB15,Plotted Finds,D2,3,Human Bone,HB,15,,,
146,5011.801475,5001.266479,100.599453,PF_D2_3_HB16,Plotted Finds,D2,3,Human Bone,HB,16,,,
157,5012.4166,5001.445258,100.602445,PF_E2_3_HB17,Plotted Finds,E2,3,Human Bone,HB,17,,,
159,5012.646658,5001.756236,100.593591,PF_E2_3_HB18,Plotted Finds,E2,3,Human Bone,HB,18,,,
168,5011.999925,5002.303631,100.60679,PF_E2_3_HB19,Plotted Finds,E2,3,Human Bone,HB,19,,,
169,5011.985474,5002.330459,100.61538,PF_E2_3_HB19,Plotted Finds,E2,3,Human Bone,HB,19,,,
170,5011.977145,5002.353685,100.649336,PF_E2_3_HB20,Plotted Finds,E2,3,Human Bone,HB,20,,,
171,5011.982369,5002.354365,100.619833,PF_E2_3_HB21,Plotted Finds,E2,3,Human Bone,HB,21,,,
174,5012.030048,5002.376596,100.583922,PF_E2_3_HB22,Plotted Finds,E2,3,Human Bone,HB,22,,,
195,5011.136242,4999.656328,100.575418,PF_C3_4_HB23,Plotted Finds,C3,4,Human Bone,HB,23,,,
201,5011.832546,5000.946334,100.549364,PF_D2_4_HB24,Plotted Finds,D2,4,Human Bone,HB,24,,,
207,5011.518481,5000.796994,100.547907,PF_D2_4_HB25,Plotted Finds,D2,4,Human Bone,HB,25,,,
209,5011.816257,5001.261697,100.549743,PF_D2_4_HB26,Plotted Finds,D2,4,Human Bone,HB,26,,,
210,5011.850017,5001.423431,100.559076,PF_D2_4_HB27,Plotted Finds,D2,4,Human Bone,HB,27,,,
211,5011.576574,5001.456422,100.563377,PF_D2_4_HB28,Plotted Finds,D2,4,Human Bone,HB,28,,,
212,5011.976238,5001.350169,100.536299,PF_D2_4_HB29,Plotted Finds,D2,4,Human Bone,HB,29,,,
215,5011.75431,5001.502275,100.561034,PF_D2_4_HB30,Plotted Finds,D2,4,Human Bone,HB,30,,,
220,5011.97478,5001.5947,100.553878,PF_D2_4_HB31,Plotted Finds,D2,4,Human Bone,HB,31,,,
221,5011.824482,5001.741081,100.57076,PF_D2_4_HB32,Plotted Finds,D2,4,Human Bone,HB,32,,,
222,5011.712173,5001.894096,100.572596,PF_D2_4_HB33,Plotted Finds,D2,4,Human Bone,HB,33,,,
258,5012.499382,5001.813632,100.53293,PF_E2_4_HB34,Plotted Finds,E2,4,Human Bone,HB,34,,,
262,5012.292325,5001.601628,100.530224,PF_E2_4_HB35,Plotted Finds,E2,4,Human Bone,HB,35,,,
263,5012.42067,5001.721012,100.521879,PF_E2_4_HB36,Plotted Finds,E2,4,Human Bone,HB,36,,,
265,5012.526066,5001.877755,100.532117,PF_E2_4_HB37,Plotted Finds,E2,4,Human Bone,HB,37,,,
266,5012.355409,5001.838874,100.509296,PF_E2_4_HB38,Plotted Finds,E2,4,Human Bone,HB,38,,,
267,5012.50659,5001.808871,100.511649,PF_E2_4_HB39,Plotted Finds,E2,4,Human Bone,HB,39,,,
268,5012.412554,5001.831397,100.508488,PF_E2_4_HB40,Plotted Finds,E2,4,Human Bone,HB,40,,,
269,5012.429435,5001.828948,100.511581,PF_E2_4_HB41,Plotted Finds,E2,4,Human Bone,HB,41,,,
270,5012.284058,5001.744366,100.516576,PF_E2_4_HB42,Plotted Finds,E2,4,Human Bone,HB,42,,,
351,5010.657929,5000.050621,100.511039,PF_B2_5_HB43,Plotted Finds,B2,5,Human Bone,HB,43,,,
360,5010.941866,4999.722933,100.522265,PF_B3_5_HB44,Plotted Finds,B3,5,Human Bone,HB,44,,,
376,5011.62335,5000.387656,100.550791,PF_C3_5_HB45,Plotted Finds,C3,5,Human Bone,HB,45,,,
377,5011.071926,4999.955328,100.511265,PF_C3_5_HB46,Plotted Finds,C3,5,Human Bone,HB,46,,,
378,5011.249538,4999.823911,100.537282,PF_C3_5_HB47,Plotted Finds,C3,5,Human Bone,HB,47,,,
382,5011.316704,4999.950342,100.527238,PF_C3_5_HB48,Plotted Finds,C3,5,Human Bone,HB,48,,,
387,5011.135686,5000.031638,100.523415,PF_C3_5_HB49,Plotted Finds,C3,5,Human Bone,HB,49,,,
388,5010.826864,4998.581606,100.534412,PF_B3_5_HB50,Plotted Finds,B3,5,Human Bone,HB,50,,,
389,5011.346328,5000.185756,100.581658,PF_C3_5_HB51,Plotted Finds,C3,5,Human Bone,HB,51,,,
390,5011.336163,5000.105786,100.57904,PF_C3_5_HB51,Plotted Finds,C3,5,Human Bone,HB,51,,,
391,5011.251348,5000.00909,100.535546,PF_C3_5_HB52,Plotted Finds,C3,5,Human Bone,HB,52,,,
