Name,Y,X,Z,Description,Date Taken
3451,5010.774457,4985.544819,100.496465,CHECK10712,10/07/2012
3452,5013.840083,5000.497864,99.487816,PF_E4_25_C14X124,10/07/2012
3453,5012.706666,4999.593646,99.491158,PF_E4_25_C14X125,10/07/2012
3454,5012.818748,4999.149014,99.475373,EL_C4_25_N,10/07/2012
3455,5012.219258,4998.577284,99.498764,EL_C4_25_W,10/07/2012
3456,5012.255973,4999.843368,99.489808,EL_C4_25A_E,10/07/2012
3457,5011.648346,4999.280332,99.495479,EL_C4_25A_S,10/07/2012
3458,5012.314585,4999.286032,99.502096,EL_C4_25A_C,10/07/2012
3459,5014.322956,5000.483784,99.470009,EL_E4_25_N,10/07/2012
3460,5013.74319,5001.176162,99.476969,EL_E4_25_E,10/07/2012
3461,5013.024985,5000.566815,99.477024,EL_E4_25_S,10/07/2012
3462,5013.589328,4999.851414,99.461452,EL_E4_25_W,10/07/2012
3463,5013.668853,5000.515515,99.47113,EL_E4_25_C,10/07/2012
3464,5013.62236,4999.819498,99.461345,EL_D4_25_N,10/07/2012
3465,5012.997896,5000.519729,99.46736,EL_D4_25_E,10/07/2012
3466,5012.272727,4999.874491,99.492945,EL_D4_25_S,10/07/2012
3467,5012.8549,4999.170114,99.477638,EL_D4_25_W,10/07/2012
3468,5012.925148,4999.902149,99.478082,EL_D4_25_C,10/07/2012
3469,5011.692949,4999.363675,99.512854,PF_C3_25_C14X126,10/07/2012
3470,5013.30522,5000.912322,99.494169,PF_E3_25_L878,10/07/2012
3471,5011.839097,4999.814931,99.521526,PF_C3_25_L879,10/07/2012
3472,5012.279426,5000.052189,99.499848,PF_D3_25_L880,10/07/2012
3473,5012.286822,5000.272767,99.516562,PF_D3_25_L881,10/07/2012
3474,5011.516292,5000.130857,99.507083,PF_C3_25_L882,10/07/2012
3475,5011.957917,5000.324606,99.494023,PF_D3_25_L883,10/07/2012
3476,5012.656566,5001.071582,99.489493,PF_E3_25_L884,10/07/2012
3477,5011.824531,5000.341332,99.508281,PF_C3_25_L885,10/07/2012
3478,5011.440252,5000.452623,99.501364,PF_C3_25_L886,10/07/2012
3479,5011.991853,5000.454202,99.498752,PF_D3_25_L887,10/07/2012
3480,5013.709348,5001.171341,99.474039,EL_E3_25A_N,10/07/2012
3481,5013.060972,5001.851512,99.449539,EL_E3_25A_E,10/07/2012
3482,5013.054422,5000.642339,99.472209,EL_E3_25A_W,10/07/2012
3483,5013.014268,5001.227083,99.461405,EL_E3_25A_C,10/07/2012
3484,5012.387772,5001.280218,99.444002,EL_E3_25_S,10/07/2012
3485,5012.505414,5001.000385,99.488944,PF_D3_25_L888,10/07/2012
3486,5012.222569,4999.912313,99.491224,EL_C3_25_N,10/07/2012
3487,5011.604471,5000.61967,99.475747,EL_C3_25_E,10/07/2012
3488,5010.922605,4999.996567,99.457524,EL_C3_25_S,10/07/2012
3489,5011.579258,4999.316127,99.488829,EL_C3_25_W,10/07/2012
3490,5011.648435,4999.96841,99.508312,EL_C3_25_C,10/07/2012
3491,5012.982002,5000.569064,99.466188,EL_D3_25A_N,10/07/2012
3492,5012.334354,5001.249901,99.440584,EL_D3_25_E,10/07/2012
3493,5011.630253,5000.656435,99.473996,EL_D3_25_S,10/07/2012
3494,5012.265436,4999.904899,99.498251,EL_D3_25_W,10/07/2012
3495,5012.223387,5000.515252,99.471398,EL_D3_25_C,10/07/2012
3496,5012.342019,5001.677095,99.455578,PF_E2_25_L889,10/07/2012
3497,5012.313703,5001.550433,99.440763,PF_E2_25_HM215,10/07/2012
3498,5012.288897,5001.731548,99.426655,PF_E2_25_L890,10/07/2012
3499,5011.959978,5001.778093,99.426028,PF_E2_25_L891,10/07/2012
3500,5011.874388,5001.861665,99.441331,PF_E2_25_L892,10/07/2012
3501,5011.877526,5002.01273,99.426086,PF_E2_25B_HM216,10/07/2012
3502,5012.185634,5002.31342,99.420121,PF_E2_25B_L893,10/07/2012
3503,5011.189698,5000.669376,99.481482,PF_C2_25_L894,10/07/2012
3504,5012.738997,5001.687988,99.468949,PF_E2_25_L895,10/07/2012
3505,5011.887784,5002.038697,99.42402,PF_E2_25B_L896,10/07/2012
3506,5011.142714,4999.494863,99.498696,PF_B3_25_HM217,10/07/2012
3507,5011.020435,5000.569526,99.479999,PF_C2_25_L897,10/07/2012
3508,5011.224395,5000.72541,99.477796,PF_C2_25_L898,10/07/2012
3509,5011.252691,5000.675273,99.472994,PF_C2_25_C14X127,10/07/2012
3510,5012.019186,5001.903158,99.397188,PF_E2_25_L899,10/07/2012
3511,5012.19196,5001.961409,99.405413,PF_E2_25_L900,10/07/2012
3512,5012.277201,5002.121249,99.433167,PF_E2_25_L901,10/07/2012
3513,5012.372746,5002.20971,99.433436,PF_E2_25_L902,10/07/2012
3514,5011.915586,5001.254795,99.47229,PF_D2_25_L903,10/07/2012
3515,5011.15943,5000.897645,99.4626,PF_C2_25_L904,10/07/2012
3516,5011.103832,5000.847794,99.453459,PF_C2_25_L905,10/07/2012
3517,5011.015356,5000.570511,99.476668,PF_C2_25_L906,10/07/2012
3518,5010.630054,5000.334142,99.452345,PF_C2_25_L907,10/07/2012
3519,5011.324086,4999.282667,99.505274,PF_B3_25_L908,10/07/2012
3520,5011.118995,4999.303659,99.508692,PF_B3_25_C14X128,10/07/2012
3521,5011.753266,5001.298571,99.478329,PF_D2_25_L909,10/07/2012
3522,5010.623016,5000.427906,99.423566,PF_C2_25_HM218,10/07/2012
3523,5010.985302,5000.7601,99.464448,PF_C2_25_L910,10/07/2012
3524,5011.138964,5000.895164,99.473107,PF_C2_25_L911,10/07/2012
3525,5012.920825,5001.880825,99.484941,PF_E2_25_L912,10/07/2012
3526,5012.784118,5002.002027,99.444605,PF_E2_25_L913,10/07/2012
3527,5010.952369,5000.855052,99.453832,PF_C2_25A_L914,10/07/2012
3528,5010.848411,4999.039023,99.499561,PF_B3_25_L918,10/07/2012
3529,5010.874273,4998.928308,99.513145,PF_B3_25_L919,10/07/2012
3530,5011.694829,5000.950543,99.446802,PF_D2_25_L920,10/07/2012
3531,5011.406188,5000.896285,99.455975,PF_D2_25_L921,10/07/2012
