Name,Easting,Northing,Elevation,Description,,Date Taken
677,4985.552154,5010.778291,100.5087,CHECK,,19/06/2012
678,5000.204826,5013.667129,100.517285,PF_E4_6_L60,,19/06/2012
679,4999.895397,5013.673677,100.548591,PF_E4_6_L61,,19/06/2012
680,4999.440009,5011.48319,100.529507,PF_C3_6_L62,,19/06/2012
681,4999.745715,5011.656912,100.535713,PF_C3_6_HB121,,19/06/2012
682,5000.534069,5014.07908,100.509449,PF_E4_6_C14X13,,19/06/2012
683,5001.353241,5011.989696,100.435372,PF_D2_6_HB122,,19/06/2012
684,4999.369221,5011.597032,100.502875,PF_C3_6_HB123,,19/06/2012
685,4999.367168,5011.637715,100.49906,PF_C3_6_HB124,,19/06/2012
686,5001.21481,5011.92119,100.416516,PF_D2_6_HB125,,19/06/2012
687,5001.502368,5011.726755,100.42105,PF_D2_6_HB126,,19/06/2012
688,4999.909538,5011.845366,100.501626,PF_C3_6_L63,,19/06/2012
689,5001.018498,5011.91188,100.449944,PF_D2_6_HB127,,19/06/2012
690,5001.090975,5011.722651,100.441433,PF_D2_6_HB128,,19/06/2012
691,5001.373611,5011.675336,100.420525,PF_D2_6_HB129,,19/06/2012
692,4999.685698,5011.265253,100.478441,PF_C3_6_HB130,,19/06/2012
693,5001.184558,5011.565102,100.468906,PF_D2_6_R11,,19/06/2012
694,5001.117928,5011.504161,100.486377,PF_D2_6_R11,,19/06/2012
695,5001.006411,5011.525503,100.526888,PF_D2_6_R11,,19/06/2012
696,5000.998515,5011.59593,100.525779,PF_D2_6_R11,,19/06/2012
697,5001.106246,5011.648087,100.469236,PF_D2_6_R11,,19/06/2012
698,5001.114369,5011.5937,100.497032,PF_D2_6_R11,,19/06/2012
699,5001.046584,5011.576572,100.517904,PF_D2_6_R11,,19/06/2012
700,5001.164648,5011.591561,100.441739,PF_D2_6_R11,,19/06/2012
701,5001.128164,5011.544529,100.471868,PF_D2_6_R11,,19/06/2012
702,5001.073382,5011.528525,100.490511,PF_D2_6_R11,,19/06/2012
703,5001.021137,5011.526786,100.512035,PF_D2_6_R11,,19/06/2012
704,5001.018544,5011.590716,100.482657,PF_D2_6_R11,,19/06/2012
705,5001.108023,5011.627227,100.435163,PF_D2_6_R11,,19/06/2012
706,5001.074268,5011.581253,100.463596,PF_D2_6_R11,,19/06/2012
707,4999.837387,5011.342717,100.480056,PF_C3_6_HB131,,19/06/2012
708,4999.779514,5011.132973,100.497856,PF_C3_6_HB131,,19/06/2012
709,4999.821695,5011.247043,100.464022,PF_C3_6_HB132,,19/06/2012
710,5000.697748,5013.271681,100.528006,PF_E4_6_C14X14,,19/06/2012
711,4999.762705,5011.28263,100.47173,PF_C3_6_HB133,,19/06/2012
712,5000.959754,5011.882587,100.44438,PF_D2_6_HM20,,19/06/2012
713,4999.839821,5011.080381,100.465917,PF_C3_6_HB134,,19/06/2012
714,5000.07535,5011.7812,100.481212,PF_C3_6_HB135,,19/06/2012
715,5001.380085,5011.564671,100.423477,PF_D2_6_L64,,19/06/2012
716,5001.011114,5011.534214,100.46458,PF_D2_6_HB136,,19/06/2012
717,5001.070478,5011.464462,100.471303,PF_D2_6_HB137,,19/06/2012
718,5001.066403,5011.608095,100.431665,PF_D2_6_HB137,,19/06/2012
719,5000.496531,5014.390136,100.468167,EL_E4_6_N,,19/06/2012
720,5001.171928,5013.787883,100.487442,EL_E4_6_E,,19/06/2012
721,5000.517357,5013.08845,100.516947,EL_E4_6_S,,19/06/2012
722,4999.870117,5013.679432,100.518446,EL_E4_6_W,,19/06/2012
723,5000.520475,5013.710875,100.493481,EL_E4_6_C,,19/06/2012
724,5000.737312,5013.512685,100.539631,PF_E4_6_SF5,,19/06/2012
725,5000.725464,5013.580625,100.549846,PF_E4_6_SF5,,19/06/2012
726,5000.780612,5013.624853,100.541175,PF_E4_6_SF5,,19/06/2012
727,5000.800828,5013.506422,100.551698,PF_E4_6_SF5,,19/06/2012
728,5000.844832,5013.531165,100.550452,PF_E4_6_SF5,,19/06/2012
729,5000.827466,5013.603908,100.557717,PF_E4_6_SF5,,19/06/2012
730,5000.750386,5013.549766,100.333269,PF_E4_6_SF5,,19/06/2012
731,4998.622931,5012.303935,100.607031,PF_C4_6_SF6A,,19/06/2012
732,4998.563251,5012.287198,100.606259,PF_C4_6_SF6A,,19/06/2012
733,4998.557544,5012.212245,100.604584,PF_C4_6_SF6A,,19/06/2012
734,4998.630385,5012.224155,100.613804,PF_C4_6_SF6A,,19/06/2012
735,4998.597319,5012.253852,100.459529,PF_C4_6_SF6A,,19/06/2012
736,5000.994489,5011.710634,100.419773,PF_D2_6_HB138,,19/06/2012
737,5001.000235,5011.571792,100.447077,PF_D2_6_HB139,,19/06/2012
738,5001.028605,5011.493046,100.470243,PF_D2_6_HB140,,19/06/2012
739,5001.200184,5011.572878,100.440599,PF_D2_6_HB141,,19/06/2012
740,5001.213827,5011.628631,100.425097,PF_D2_6_HB142,,19/06/2012
741,5000.927367,5011.691837,100.441181,PF_D2_6_HB143,,19/06/2012
742,5000.487637,5011.689254,100.518409,PF_C3_6_HB144,,19/06/2012
743,5000.522389,5011.547355,100.467631,PF_C3_6_HB145,,19/06/2012
744,5000.933752,5011.648876,100.448745,PF_D2_6_HB146,,19/06/2012
745,5000.884218,5011.619529,100.434525,PF_D2_6_HB147,,19/06/2012
746,4999.077451,5010.362883,100.221761,PF_B3_HB148,,19/06/2012
747,5000.818341,5011.478295,100.462196,PF_D2_6_HM21,,19/06/2012
748,5000.488766,5012.730504,100.525124,PF_D3_6_L65,,19/06/2012
749,5000.378188,5011.328436,100.460272,PF_C3_6_HB149,,19/06/2012
750,5000.440888,5011.390614,100.462933,PF_C3_6_HB149,,19/06/2012
751,5000.402804,5011.443391,100.450014,PF_C3_6_HB149,,19/06/2012
752,5000.35978,5011.384486,100.463123,PF_C3_6_HB149,,19/06/2012
753,5000.84167,5011.817943,100.471967,PF_D2_6_HB150,,19/06/2012
754,5000.82682,5011.734824,100.468211,PF_D2_6_HB150,,19/06/2012
755,5000.14912,5012.257784,100.489272,PF_D3_6_C14X15,,19/06/2012
756,5000.455948,5012.614552,100.483638,PF_D3_6_HB151,,19/06/2012
757,5000.691865,5011.675512,100.433902,PF_D2_6_HB152,,19/06/2012
758,4999.851122,5012.255927,100.498186,EL_C3_6_N,,19/06/2012
