Name,Y,X,Z,Description,,Date Taken
3026,5010.702664,4985.485265,100.50904,CHECK 060712,,6/07/2012
3027,5011.574804,5000.763279,100.047217,PF_D2_15_L478,,6/07/2012
3028,5011.697108,5000.759778,100.060907,PF_D2_15_L479,,6/07/2012
3029,5011.624172,5001.009968,100.042387,PF_D2_15_L480,,6/07/2012
3030,5011.576638,5001.214412,100.034926,PF_D2_15_L481,,6/07/2012
3031,5012.444974,5001.706142,100.02939,PF_E2_15_L482,,6/07/2012
3032,5011.442643,5001.147321,100.04761,PF_D2_15_HM115,,6/07/2012
3033,5011.873653,5001.052176,100.025245,PF_D2_15_L483,,6/07/2012
3034,5011.613012,5000.730467,100.037365,PF_D2_15_L484,,6/07/2012
3035,5011.791388,5001.186788,100.0241,PF_D2_15_L485,,6/07/2012
3036,5011.60595,5000.96438,100.039855,PF_D2_15_L486,,6/07/2012
3037,5011.413382,5000.947172,100.041041,PF_D2_15_L487,,6/07/2012
3038,5011.806914,5001.278428,100.03226,PF_D2_15_L488,,6/07/2012
3039,5011.784551,5001.066769,100.015894,PF_D2_15_L489,,6/07/2012
3040,5011.590107,5000.915865,100.017113,PF_D2_15_L490,,6/07/2012
3041,5011.601081,5000.630218,100.034519,PF_D2_15_L491,,6/07/2012
3042,5011.382845,5000.790545,100.049489,PF_D2_15_HM116,,6/07/2012
3043,5012.559134,5001.71016,100.005066,PF_E2_15_HM117,,6/07/2012
3044,5012.410888,5001.601041,99.985274,PF_E2_15_HM118,,6/07/2012
3045,5012.385521,5001.565401,99.987122,PF_E2_15_L492,,6/07/2012
3046,5012.260234,5001.478898,99.993225,PF_E2_15_L493,,6/07/2012
3047,5011.656111,5001.206302,100.04397,PF_D2_15_L494,,6/07/2012
3048,5011.648976,5000.627316,100.036391,PF_D2_15_L495,,6/07/2012
3049,5011.425921,5000.938599,100.035722,PF_D2_15_L496,,6/07/2012
3050,5011.792125,5000.939048,100.010114,PF_D2_15_C14X69,,6/07/2012
3051,5012.375637,5001.548862,99.976981,PF_E2_15_HM119,,6/07/2012
3052,5011.841089,5001.086236,100.000261,PF_D2_15_HM120,,6/07/2012
3053,5011.856053,5000.751985,100.016544,PF_D2_15_L497,,6/07/2012
3054,5011.673179,5000.933652,100.008998,PF_D2_15_L498,,6/07/2012
3055,5011.488538,5000.753782,100.006591,PF_D2_15_L499,,6/07/2012
3056,5011.34624,5000.864968,100.018464,PF_D2_15_C14X70,,6/07/2012
3057,5011.664053,5001.145746,100.01165,PF_D2_15_L500,,6/07/2012
3058,5011.36831,5000.881456,100.017493,PF_D2_15_L501,,6/07/2012
3059,5012.102885,5001.781574,99.962202,PF_E2_15_L502,,6/07/2012
3060,5011.822349,5001.424506,100.00991,PF_D2_15_L503,,6/07/2012
3061,5011.59908,5000.906944,99.987363,PF_D2_15_L504,,6/07/2012
3062,5012.298706,5001.859241,99.985653,PF_E2_15_L505,,6/07/2012
3063,5011.690948,5001.513119,100.010394,PF_D2_15_L506,,6/07/2012
3064,5014.400277,5000.446853,99.936951,EL_E4_16_N,,6/07/2012
3065,5013.720985,5001.121786,99.923972,EL_E4_16_E,,6/07/2012
3066,5012.991164,5000.562257,99.954263,EL_E4_16_S,,6/07/2012
3067,5013.605585,4999.789271,99.961608,EL_E4_16_W,,6/07/2012
3068,5013.650054,5000.510759,99.92961,EL_E4_16_C,,6/07/2012
3069,5011.977621,5002.140138,100.080657,PF_E1_14_R62,,6/07/2012
3070,5011.917868,5002.124314,100.015753,PF_E1_14_R62,,6/07/2012
3071,5011.850165,5001.855578,99.995506,PF_E1_14_R62,,6/07/2012
3072,5011.872452,5001.98722,99.916761,PF_E1_14_R62,,6/07/2012
3073,5011.886005,5002.082572,99.956064,PF_E1_14_R62,,6/07/2012
3074,5011.994929,5002.072536,100.035258,PF_E1_14_R63,,6/07/2012
3075,5012.145352,5002.179825,100.043215,PF_E1_14_R63,,6/07/2012
3076,5011.996895,4998.803878,100.018962,PF_C4_16A_SF36,,6/07/2012
3077,5012.030036,4998.981869,100.018049,PF_C4_16A_SF36,,6/07/2012
3078,5012.012094,4999.135147,100.011446,PF_C4_16A_SF36,,6/07/2012
3079,5011.821354,4999.135379,100.016286,PF_C4_16A_SF36,,6/07/2012
3080,5011.873837,4998.946631,100.027516,PF_C4_SF36_R64,,6/07/2012
3081,5011.941112,4999.059611,100.056393,PF_C4_SF36_R64,,6/07/2012
3082,5011.875422,4999.088575,100.024309,PF_C4_SF36_R64,,6/07/2012
3083,5011.873693,4999.022997,100.01365,PF_C4_SF36_R64,,6/07/2012
3084,5011.878505,4998.976171,100.080064,PF_C4_SF36_R64,,6/07/2012
3085,5011.949711,4998.889946,99.983219,PF_C4_16A_SF36,,6/07/2012
3086,5011.93929,4998.956594,99.991298,PF_C4_16A_SF36,,6/07/2012
3087,5011.883235,4999.001243,99.972943,PF_C4_16A_SF36,,6/07/2012
3088,5012.288022,4999.905436,99.961482,EL_C3_16_N,,6/07/2012
3089,5011.597486,5000.567702,99.955421,EL_C3_16_E,,6/07/2012
3090,5010.89694,4999.896389,99.957671,EL_C3_16_S,,6/07/2012
3091,5011.54807,4999.259972,99.943889,EL_C3_16_W,,6/07/2012
3092,5011.62194,4999.988867,99.953804,EL_C3_16_C,,6/07/2012
3093,5011.645883,4999.691876,99.953684,PF_C3_16_SR26,,6/07/2012
3094,5011.707348,4999.840569,99.951911,PF_C3_16_SR26,,6/07/2012
3095,5011.430289,4999.96494,99.94791,PF_C3_16_SR26,,6/07/2012
3096,5011.339115,4999.805653,99.947667,PF_C3_16_SR26,,6/07/2012
3097,5011.456319,4999.692499,99.93838,PF_C3_16_SR26,,6/07/2012
3098,5011.425177,4999.87412,99.818417,PF_C3_16_SR26,,6/07/2012
3099,5013.663407,5001.209861,99.931878,EL_E3_16_N,,6/07/2012
3100,5013.0579,5001.837188,99.933517,EL_E3_16_E,,6/07/2012
3101,5012.379904,5001.288155,99.924658,EL_E3_16_S,,6/07/2012
3102,5013.009557,5000.642922,99.936621,EL_E3_16_W,,6/07/2012
3103,5013.078225,5001.191844,99.933049,EL_E3_16_C,,6/07/2012
CP1,5016,5006,100.37,control point,,6/07/2012
TBM03,5020,5003,100.795,TBM03,,6/07/2012
