Name,Y,X,Z,Description,,Date Taken
4226,5010.765148,4985.522421,100.499824,CHECK240712,,24/07/2012
4227,5012.2241,4999.148092,98.385097,PF_C4_50_L1838,,24/07/2012
4228,5012.160814,4999.175118,98.392082,PF_C4_50_L1838,,24/07/2012
4229,5012.255408,4999.257835,98.370025,PF_C4_50_L1839,,24/07/2012
4230,5012.216935,4999.286607,98.372877,PF_C4_50_L1840,,24/07/2012
4231,5012.647167,4999.25974,98.382975,PF_C4_50_L1841,,24/07/2012
4232,5012.337351,4999.209577,98.376685,PF_C4_50_HM403,,24/07/2012
4233,5012.622292,4999.271565,98.392412,PF_C4_50_HM404,,24/07/2012
4234,5012.763403,4999.163265,98.380856,EL_C4_50_N,,24/07/2012
4235,5012.267508,4999.790335,98.402836,EL_C4_50_E,,24/07/2012
4236,5011.854376,4999.234649,98.396612,EL_C4_50_S,,24/07/2012
4237,5012.197149,4998.705157,98.398822,EL_C4_50_W,,24/07/2012
4238,5012.190478,4999.173007,98.37394,EL_C4_50_C,,24/07/2012
4239,5011.924025,4999.067361,98.365014,PF_C4_51_L1842,,24/07/2012
4240,5012.197686,4999.175276,98.37421,PF_C4_51_L1843,,24/07/2012
4241,5012.301028,4999.217568,98.374469,PF_C4_51_L1843,,24/07/2012
4242,5012.112818,4998.939665,98.351096,PF_C4_51_L1844,,24/07/2012
4243,5012.14794,4998.851781,98.371892,PF_C4_51_L1845,,24/07/2012
4244,5012.1249,4998.75577,98.384428,PF_C4_51_L1846,,24/07/2012
4245,5012.083332,4998.597957,98.374408,PF_C4_51_L1847,,24/07/2012
4246,5012.520634,4998.959358,98.343969,PF_C4_51_1848,,24/07/2012
4247,5012.455046,4998.915484,98.335098,PF_C4_51_L1849,,24/07/2012
4248,5012.360393,4998.822559,98.335721,PF_C4_51_HM403,,24/07/2012
4249,5012.230898,4998.59411,98.348691,PF_C4_51_HM404,,24/07/2012
4250,5012.800694,4999.11758,98.332404,EL_C4_51_N,,24/07/2012
4251,5012.353616,4999.772565,98.375666,EL_C4_51_E,,24/07/2012
4252,5011.883957,4999.144636,98.367004,EL_C4_51_S,,24/07/2012
4253,5012.20946,4998.642334,98.359077,EL_C4_51_W,,24/07/2012
4254,5012.195625,4999.118294,98.348986,EL_C4_51_C,,24/07/2012
4255,5012.237065,4998.969138,98.328781,EL_C4_52_L1840,,24/07/2012
4256,5009.872022,4999.477934,97.757078,PF_B2_69_R92,,24/07/2012
4257,5009.90788,4999.431312,97.457794,PF_B2_69_R92,,24/07/2012
4258,5012.248708,4998.86491,98.322121,PF_C4_52_L1851,,24/07/2012
4259,5012.24855,4998.735236,98.317021,PF_C4_52_HM405,,24/07/2012
4260,5012.275686,4998.744535,98.28957,PF_C4_52_L1852,,24/07/2012
4261,5012.773172,4999.192052,98.289303,EL_C4_52_N,,24/07/2012
4262,5012.280159,4999.680906,98.309907,EL_C4_52_E,,24/07/2012
4263,5011.888414,4999.153349,98.3271,EL_C4_52_S,,24/07/2012
4264,5012.189915,4998.599991,98.306252,EL_C4_52_W,,24/07/2012
4265,5012.275984,4999.092204,98.301905,EL_C4_52_C,,24/07/2012
4266,5010.706617,4999.982988,97.380874,EL_B2_69_N,,24/07/2012
4267,5010.15859,4999.281129,97.385828,EL_B2_69_W,,24/07/2012
4268,5010.196813,5000.489726,97.374119,EL_B2_69_E,,24/07/2012
4269,5009.476466,4999.923708,97.415271,EL_B2_69_E,,24/07/2012
4270,5010.169383,4999.860051,97.381138,EL_B2_69_C,,24/07/2012
4271,5011.407452,4999.252191,97.3587,EL_B3_69_N,,24/07/2012
4272,5010.770271,4998.598874,97.350064,EL_B3_69_W,,24/07/2012
4273,5010.167238,4999.315102,97.388341,EL_B3_69_S,,24/07/2012
4274,5010.657877,4999.300464,97.379657,EL_B3_69_C,,24/07/2012
4275,5010.866024,4999.812626,97.376747,EL_B3_69_E,,24/07/2012
4276,5012.178669,4999.531561,98.297908,PF_C4_53_L1853,,24/07/2012
4277,5012.573854,4999.084428,98.248699,PF_C4_53_L1854,,24/07/2012
4278,5012.363731,4998.981687,98.252944,PF_C4_53_L1855,,24/07/2012
4279,5012.797271,4999.173179,98.232315,EL_C4_53_N,,24/07/2012
4280,5012.337256,4999.74603,98.280915,EL_C4_53_E,,24/07/2012
4281,5011.885955,4999.278693,98.288875,EL_C4_53_S,,24/07/2012
4282,5012.19533,4998.517621,98.257987,EL_C4_53_W,,24/07/2012
4283,5012.254517,4999.136816,98.258673,EL_C4_53_C,,24/07/2012
4284,5012.143392,4999.204111,98.236683,PF_C4_54_L1856,,24/07/2012
4285,5012.460964,4998.974833,98.263425,PF_C4_54_L1857,,24/07/2012
4286,5012.275079,4998.819146,98.217931,PF_C4_54_L1858,,24/07/2012
4287,5012.116109,4999.347003,98.209739,PF_C4_54_L1859,,24/07/2012
4288,5012.462034,4998.969088,98.215502,PF_C4_54_L1860,,24/07/2012
4289,5012.657987,4999.085291,98.205667,EL_C4_54_N,,24/07/2012
4290,5012.293652,4999.797223,98.23729,EL_C4_54_E,,24/07/2012
4291,5011.818248,4999.413132,98.237667,EL_C4_54_S,,24/07/2012
4292,5012.231353,4998.616505,98.221566,EL_C4_54_W,,24/07/2012
4293,5011.412557,4999.294291,97.233662,EL_B3_70_N,,24/07/2012
4294,5010.878944,4999.922007,97.401899,EL_B3_70_E,,24/07/2012
4295,5010.960345,4999.807074,97.287941,EL_B3_70_E,,24/07/2012
4296,5010.576915,4998.895461,97.25345,EL_B3_70_S,,24/07/2012
4297,5010.790674,4998.672813,97.253001,EL_B3_70_W,,24/07/2012
4298,5010.85123,4999.333494,97.286974,EL_B3_70_C,,24/07/2012
4299,5010.740779,5000.030691,97.257129,EL_B2_70_N,,24/07/2012
4300,5010.218173,5000.58344,97.297774,EL_B2_70_E,,24/07/2012
4301,5009.612713,4999.880046,97.297008,EL_B2_70_S,,24/07/2012
4302,5010.209371,4999.361424,97.300484,EL_B2_70_W,,24/07/2012
4303,5010.187335,4999.888026,97.285675,EL_B2_70_C,,24/07/2012
4304,5011.443873,4997.99182,99.18724,SW_SECT_N1,,24/07/2012
4305,5012.509126,4999.035547,98.97334,PF_NWSEC_C14S_03,,24/07/2012
4306,5012.415924,4998.765398,98.886196,PF_NWSEC_C14S_04,,24/07/2012
4307,5010.884774,4998.562165,99.07274,NE_SEC_LINE,,24/07/2012
4308,5014.403121,5000.520845,99.82963,NW_SEC_LINE,,24/07/2012
4309,5012.389404,4998.67201,99.907196,NW_SEC_LINE,,24/07/2012
4310,5012.320586,4999.879754,98.982943,SW_SEC_D3,4_LINE,24/07/2012
4311,5011.745853,5000.605547,98.995216,SW_SEC_D3,4_LINE,24/07/2012
4312,5012.383481,5001.166032,98.976667,SE_SEC_D3_LINE,,24/07/2012
CP1,5016,5006,100.37,control point,,24/07/2012
TBM03,5020,5003,100.795,TBM03,,24/07/2012
TBM06,5015.3528,5000.8168,100.691,TBM06,,24/07/2012
