Name,Y,X,Z,Description,Date Taken
3854,5009.947444,4999.993702,98.418071,EL_B2_46_C,18/07/2012
3855,5011.544065,5000.572379,98.42157,EL_C2_46_N,18/07/2012
3856,5010.88997,5001.316027,98.402312,EL_C2_46_E,18/07/2012
3857,5010.168899,5000.651556,98.389476,EL_C2_46_S,18/07/2012
3858,5010.7069,4999.943627,98.392281,EL_C2_46_W,18/07/2012
3859,5010.928551,5000.656627,98.383309,EL_C2_46_C,18/07/2012
3860,5012.198207,4999.86495,98.415362,EL_C3_46_N,18/07/2012
3861,5011.531806,5000.545992,98.414599,EL_C3_46_E,18/07/2012
3862,5010.817178,4999.97142,98.340563,EL_C3_46_S,18/07/2012
3863,5011.459189,4999.273018,98.42954,EL_C3_46_W,18/07/2012
3864,5011.287386,4999.918826,98.413476,EL_C3_46_C,18/07/2012
3865,5011.955941,4998.664209,98.431881,EL_C4_SW_L3054,18/07/2012
3866,5009.90971,5001.387667,98.310875,PF_C1_47_L1710,18/07/2012
3867,5011.279458,4999.298555,98.374605,PF_B3_47_L3055,18/07/2012
3868,5011.290857,4999.280569,98.376413,PF_B3_47_L3055,18/07/2012
3869,5009.691502,5000.412323,98.364192,PF_B1_47_L3056,18/07/2012
3872,5010.986596,4998.746594,98.375683,PF_B3_47_L3058,18/07/2012
3873,5010.982139,4999.170987,98.353459,PF_B3_47_L3059,18/07/2012
CP1,5016,5006,100.37,control point,18/07/2012
TBM03,5020,5003,100.795,TBM03,18/07/2012
TBM06,5015.3528,5000.8168,100.691,TBM06,18/07/2012
