Name,Easting,Northing,Elevation,Description,,Date Taken
382,4999.950342,5011.316704,100.527238,PF_C3_5_HB48,,18/06/2012
383,4998.647861,5010.774859,100.569371,PF_B3_5_SF3,,18/06/2012
384,4998.831469,5010.881732,100.576641,PF_B3_5_SF3,,18/06/2012
385,4999.010887,5010.764113,100.57891,PF_B3_5_SF3,,18/06/2012
386,4998.829343,5010.531287,100.60501,PF_B3_5_SF3,,18/06/2012
387,5000.031638,5011.135686,100.523415,PF_C3_5_HB49,,18/06/2012
388,4998.581606,5010.826864,100.534412,PF_B3_5_HB50,,18/06/2012
389,5000.185756,5011.346328,100.581658,PF_C3_5_HB51,,18/06/2012
390,5000.105786,5011.336163,100.57904,PF_C3_5_HB51,,18/06/2012
391,5000.00909,5011.251348,100.535546,PF_C3_5_HB52,,18/06/2012
392,4998.786045,5010.657797,100.566973,PF_B3_5_HB54,,18/06/2012
393,4999.336611,5012.409444,100.572939,PF_C4_5_C14X_4,,18/06/2012
394,4998.610617,5010.741236,100.543807,PF_B3_5_SF3,,18/06/2012
395,4999.08876,5010.758103,100.542053,PF_B3_5_SF3,,18/06/2012
396,4998.834262,5010.542759,100.540421,PF_B3_5_SF3,,18/06/2012
397,4998.79283,5010.888701,100.541141,PF_B3_5_SF3,,18/06/2012
398,4999.187375,5011.444275,100.523817,PF_B3_5_SF3,,18/06/2012
399,4999.191084,5011.452814,100.52512,EL_B3_5_N,,18/06/2012
400,4999.889825,5010.905834,100.507245,EL_B3_5_E,,18/06/2012
401,4998.829091,5010.540819,100.540618,EL_B3_5_S,,18/06/2012
402,4998.508779,5010.828814,100.543234,EL_B3_5_W,,18/06/2012
403,4999.357437,5011.020839,100.541062,EL_B3_5_C,,18/06/2012
404,4999.551589,5011.52028,100.545098,PF_C3_5_L42,,18/06/2012
405,4998.72755,5012.398848,100.59264,PF_B4_5_SF4,,18/06/2012
406,4998.800228,5012.361607,100.601716,PF_B4_5_SF4,,18/06/2012
407,4998.787722,5012.276993,100.59381,PF_B4_5_SF4,,18/06/2012
408,4998.700182,5012.231373,100.59598,PF_B4_5_SF4,,18/06/2012
409,4998.641803,5012.300183,100.596771,PF_B4_5_SF4,,18/06/2012
410,4998.665203,5012.358216,100.59654,PF_B4_5_SF4,,18/06/2012
411,5000.113553,5010.79981,100.546473,PF_C2_5_L43,,18/06/2012
412,5000.04341,5010.912807,100.509077,PF_C2_5_L44,,18/06/2012
413,4999.107409,5012.913174,100.617735,EL_C4_5_N,,18/06/2012
414,4999.795221,5012.261796,100.5599,EL_C4_5_E,,18/06/2012
415,4999.17935,5011.632585,100.563759,EL_C4_5_S,,18/06/2012
416,4998.490215,5012.24677,100.574722,EL_C4_5_W,,18/06/2012
417,4999.155149,5012.250728,100.574187,EL_C4_5_C,,18/06/2012
418,5000.191837,5010.858266,100.523964,PF_C2_5_HM13,,18/06/2012
419,5000.165709,5011.126479,100.560397,PF_C2_5_HB55,,18/06/2012
420,5000.179758,5010.916772,100.518617,PF_C2_5_L45,,18/06/2012
421,4999.942892,5010.89369,100.493818,PF_C2_5_HB56,,18/06/2012
422,4999.748313,5012.499959,100.558663,PF_D4_5_HB57,,18/06/2012
423,4999.616388,5012.64609,100.556186,PF_D4_5_HB58,,18/06/2012
424,5000.023711,5011.321873,100.515919,PF_C3_5_HB53,,18/06/2012
425,4999.791153,5011.283166,100.494512,PF_C3_5_HB53,,18/06/2012
