Name,Easting,Northing,Elevation,Description,,Date Taken
1,4985.533521,5010.768504,100.500519,CP2,,16/06/2012
2,5000.490999,5014.432977,100.664748,EL_E4_1_N,,16/06/2012
3,5001.202183,5013.746351,100.640463,EL_E4_1_E,,16/06/2012
4,5000.548416,5013.096635,100.655177,EL_E4_1_S,,16/06/2012
5,4999.836541,5013.718075,100.683165,EL_E4_1_W,,16/06/2012
6,5001.227387,5013.739972,100.64212,EL_E3_1_N,,16/06/2012
7,5001.952075,5013.122105,100.685227,EL_E3_1_E,,16/06/2012
8,5001.983691,5013.09989,100.675652,EL_E2_1_N,,16/06/2012
9,5002.460517,5012.640221,100.659971,EL_E2_1_E,,16/06/2012
10,5002.020319,5011.792601,100.69851,EL_E2_1_S,,16/06/2012
11,5001.363284,5012.363932,100.680505,EL_E2_1_W,,16/06/2012
12,5001.299764,5012.419905,100.714987,EL_E3_1_S,,16/06/2012
13,4999.165285,5013.016124,100.886064,EL_C4_2_N,,16/06/2012
14,4999.875504,5012.306182,100.885041,EL_C4_2_E,,16/06/2012
15,4999.224061,5011.679598,100.864629,EL_C4_2_S,,16/06/2012
16,5000.590508,5013.061688,100.665632,EL_E3_1_W,,16/06/2012
17,4999.795679,5013.698076,100.676204,EL_D4_1_N,,16/06/2012
18,5000.53919,5013.05019,100.662864,EL_D4_1_E,,16/06/2012
19,5000.562113,5013.020243,100.666735,EL_D3_1_N,,16/06/2012
20,5001.279195,5012.375927,100.710644,EL_D3_1_E,,16/06/2012
21,5001.313387,5012.34503,100.695786,EL_D2_1_N,,16/06/2012
22,5001.968245,5011.755073,100.702846,EL_D2_1_W,,16/06/2012
23,5001.01127,5011.377112,100.786117,EL_D2_1_S,,16/06/2012
24,5000.890167,5011.354241,100.784259,EL_C2_1_E,,16/06/2012
25,5000.343267,5010.67336,100.725028,EL_C2_1_S,,16/06/2012
26,5000.25131,5010.610988,100.680431,EL_B2_1_E,,16/06/2012
27,5000.202715,5010.41162,100.658363,EL_B2_1_S,,16/06/2012
28,4999.876633,5010.725457,100.671789,EL_B2_1_W,,16/06/2012
29,4999.962545,5010.869078,100.681598,EL_B2_1_N,,16/06/2012
30,5000.633849,5011.608762,100.766433,EL_C2_1_N,,16/06/2012
31,5000.62138,5011.623901,100.758068,EL_C3_1_W,,16/06/2012
32,4999.954848,5010.94229,100.699644,EL_C3_1_S,,16/06/2012
33,5000.011937,5010.886365,100.695198,EL_C2_1_W,,16/06/2012
34,4999.941997,5010.898044,100.687297,EL_B3_1_E,,16/06/2012
35,4999.23972,5011.552833,100.645166,EL_B3_1_N,,16/06/2012
36,4998.549487,5010.802038,100.647342,EL_B3_1_W,,16/06/2012
37,4999.279207,5011.567353,100.650292,EL_C3_1_W,,16/06/2012
38,4999.291177,5011.658958,100.654853,EL_C4_1_S,,16/06/2012
39,4999.844459,5012.315497,100.718934,EL_C4_1_E,,16/06/2012
40,4999.898564,5012.271344,100.726511,EL_C3_1_N,,16/06/2012
41,4999.143399,5012.920922,100.717989,EL_C4_1_N,,16/06/2012
42,4998.564172,5012.286467,100.674578,EL_C4_1_W,,16/06/2012
43,5000.871592,5011.286093,100.717908,PF_C2_2_HB1,,16/06/2012
44,5000.694595,5011.06977,100.733051,PF_C2_2_HB2,,16/06/2012
45,5001.993059,5013.098337,100.64783,EL_E2_2_N,,16/06/2012
46,5002.457225,5012.662584,100.641943,EL_E2_2_E,,16/06/2012
47,5001.34803,5012.356178,100.65591,EL_E2_2_W,,16/06/2012
48,5002.034792,5011.809766,100.638103,EL_E2_2_S,,16/06/2012
49,5000.648697,5011.59701,100.66192,EL_C2_2_N,,16/06/2012
50,5000.002404,5010.900798,100.687781,EL_C2_2_W,,16/06/2012
51,5000.308095,5010.658784,100.682739,EL_C2_2_S,,16/06/2012
