Name,Y,X,Z,Description,Date Taken
3665,5010.735398,4985.479446,100.509832,CHECK 160712,16/07/2012
3666,5011.548263,5001.242332,98.729174,PF_D2_37A_L3010,16/07/2012
3667,5010.171476,5000.581837,98.58738,EL_B1_39_N,16/07/2012
3668,5009.388312,5000.009713,98.603445,EL_B1_39_W,16/07/2012
3669,5011.504697,5001.312061,98.599727,PF_D2_41_L3024,16/07/2012
3670,5011.500744,5001.164026,98.60647,PF_D2_41_L3025,16/07/2012
3671,5009.516218,5000.532029,98.596098,EL_B1_39_C,16/07/2012
3672,5011.098846,4986.591097,101.335729,PF_R1_GP1,16/07/2012
3673,5011.166449,4986.83315,101.344367,PF_R1_GP2,16/07/2012
3674,5011.061306,4987.014234,101.35163,PF_R1_GP3,16/07/2012
3675,5011.309774,4987.066225,101.350424,PF_R1_GP4,16/07/2012
3676,5010.90728,4987.175704,101.378879,PF_R1_GP5,16/07/2012
3677,5011.299895,4987.210624,101.318493,PF_R1_GP6,16/07/2012
3678,5011.096348,4987.448209,101.306907,PF_R1_GP7,16/07/2012
3679,5010.918004,4987.44478,101.381398,PF_R1_GP9,16/07/2012
3680,5010.7738,4987.807691,101.399398,PF_R1_GP10,16/07/2012
3681,5010.901464,4987.31508,101.409688,PF_R1_GP8,16/07/2012
3682,5009.711845,5000.871242,98.566289,P_B1_40_C14X200,16/07/2012
3683,5010.695541,5000.970798,98.578809,P_C2_40_L1581,16/07/2012
3684,5010.722647,5000.781217,98.607829,P_C2_40_L1582,16/07/2012
3685,5010.609562,5000.797844,98.591666,P_C2_40_L1583,16/07/2012
3686,5010.717847,5000.434613,99.182755,P_C2_40_L3011,16/07/2012
3687,5010.753432,5000.418248,99.178977,P_C2_40_L3011,16/07/2012
3688,5010.886969,5000.658696,99.204868,P_C2_40_L3012,16/07/2012
3689,5010.829642,5000.684648,99.199621,P_C2_40_L3012,16/07/2012
3690,5011.666374,5001.984906,98.558253,EL_D1_41_N,16/07/2012
3691,5010.878802,5001.358791,98.558182,EL_D1_41_W,16/07/2012
3692,5010.512399,5001.877877,98.508856,EL_D1_41_S,16/07/2012
3693,5010.963175,5001.979454,98.539126,EL_D1_41_C,16/07/2012
3694,5011.486694,5001.124533,98.610813,PF_D2_41_L3026,16/07/2012
3695,5009.760276,5001.056576,98.523612,EL_B1_41_E,16/07/2012
3696,5009.042372,5000.410551,98.550927,EL_B1_41_S,16/07/2012
3697,5009.300364,5000.097332,98.554614,EL_B1_41_W,16/07/2012
3698,5010.107106,5000.676706,98.522603,EL_B1_41_N,16/07/2012
3699,5009.458831,5000.608887,98.537767,EL_B1_41_C,16/07/2012
3700,5010.90219,5000.41978,98.585933,PF_C2_41_L3013,16/07/2012
3701,5010.938231,5000.444715,98.573862,PF_C2_41_L3013,16/07/2012
3702,5011.027562,5000.479243,98.593218,PF_C2_41_L3014,16/07/2012
3703,5011.042513,5000.451852,98.581197,PF_C2_41_L3014,16/07/2012
3704,5011.101821,5000.457178,98.58165,PF_C2_41_L3015,16/07/2012
3705,5011.054373,5000.399263,98.583459,PF_C2_41_L3016,16/07/2012
3706,5011.059735,5000.364037,98.580947,PF_C2_41_L3017,16/07/2012
3707,5011.230062,5000.471785,98.583016,PF_C2_41_L3018,16/07/2012
3708,5011.304447,5000.627835,98.584717,PF_C2_41_L3019,16/07/2012
3709,5011.299822,5000.662178,98.583639,PF_C2_41_L3019,16/07/2012
3710,5011.221991,5000.875713,98.584694,PF_C2_41_L3020,16/07/2012
3711,5011.089533,5000.772962,98.587219,PF_C2_41_L3021,16/07/2012
3712,5011.041709,5000.658934,98.585789,PF_C2_41_L3022,16/07/2012
3713,5011.021097,5000.628661,98.586331,PF_C2_41_L3022,16/07/2012
3714,5010.994774,5000.875406,98.57839,PF_C2_41_L3023,16/07/2012
3715,5010.735308,5000.763102,98.587387,PF_C2_41_L3024,16/07/2012
3716,5010.717545,5000.735936,98.588837,PF_C2_41_L3024,16/07/2012
3717,5011.613796,5001.078128,98.595852,PF_D2_41_HM1001,16/07/2012
3718,5011.465668,5001.126209,98.600228,PF_D2_41_L3027,16/07/2012
3719,5010.944555,5000.441923,98.572014,PF_C2_41_L3028,16/07/2012
3720,5010.904103,5000.419851,98.57169,PF_C2_41_L3028,16/07/2012
3721,5011.33531,5000.423833,98.59197,PF_C2_41_L3029,16/07/2012
3722,5011.322167,5000.84105,98.586977,PF_C2_41_L3030,16/07/2012
3723,5011.309754,5000.872161,98.598979,PF_C2_41_L3030,16/07/2012
3724,5011.077924,5000.849072,98.580543,PF_C2_41_L3031,16/07/2012
3725,5011.099314,5000.813195,98.583899,PF_C2_41_L3031,16/07/2012
3726,5010.977242,5000.745695,98.574479,PF_C2_41_L3032,16/07/2012
3727,5011.006077,5000.746442,98.574024,PF_C2_41_L3032,16/07/2012
3728,5011.14939,5000.742995,98.579016,PF_C2_41_HM1002,16/07/2012
3729,5011.608854,5000.471194,98.569706,PF_C3_41_L3033,16/07/2012
3730,5011.574728,5000.429284,98.585859,PF_C3_41_L3033,16/07/2012
3731,5012.155421,4999.880251,98.594409,EL_C3_41_N,16/07/2012
3732,5011.536803,5000.550265,98.589335,EL_C3_41_E,16/07/2012
3733,5010.896314,4999.928191,98.571393,EL_C3_41_S,16/07/2012
3734,5011.526694,4999.282119,98.573186,EL_C3_41_W,16/07/2012
3735,5011.559143,4999.874325,98.564623,EL_C3_41_C,16/07/2012
3736,5010.915833,5000.534422,98.560287,PF_C2_41_L3034,16/07/2012
3737,5010.857293,5000.479524,98.574699,PF_C2_41_L3034,16/07/2012
3738,5011.081468,5000.514721,98.575623,PF_C2)41_L3035,16/07/2012
3739,5011.107318,5000.482897,98.586472,PF_C2_41_L3035,16/07/2012
3740,5011.278077,5000.428902,98.591252,PF_C2_41_L3036,16/07/2012
3741,5011.317301,5000.433087,98.583702,PF_C2_41_L3036,16/07/2012
3742,5011.204048,5000.559197,98.576456,PF_C2_41_L3037,16/07/2012
3743,5011.217624,5000.559749,98.582586,PF_C2_41_L3037,16/07/2012
3744,5011.309347,5000.737816,98.582941,PF_C2_41_L3038,16/07/2012
3745,5011.356505,5000.717839,98.577739,PF_C2_41_L3038,16/07/2012
3746,5011.528317,5000.5915,98.594372,EL_C2_41_N,16/07/2012
3747,5010.83156,4999.958232,98.575989,EL_C2_41_W,16/07/2012
3748,5010.183715,5000.645641,98.532317,EL_C2_41_S,16/07/2012
3749,5010.887589,5001.287723,98.560296,EL_C2_41_E,16/07/2012
3750,5010.981064,5000.641037,98.571302,EL_C2_41_C,16/07/2012
3751,5010.132487,5001.328724,98.534647,PF_C1_41_ART25,16/07/2012
3752,5010.472426,5001.020785,98.539452,PF_C1_41_L3039,16/07/2012
3753,5010.956384,5001.748194,98.520699,PF_D1_42_HM1003,16/07/2012
3754,5011.633986,5002.030936,98.618468,EL_D1_42_N,16/07/2012
3755,5010.910538,5001.347181,98.526233,EL_D1_42_W,16/07/2012
3756,5010.50491,5001.85882,98.484074,EL_D1_42_S,16/07/2012
3757,5011.054909,5002.050997,98.511143,EL_D1_42_C,16/07/2012
3758,5010.631485,5000.229561,98.514716,P_C3_42_HM1004,16/07/2012
3759,5011.06358,5000.756666,98.537485,P_C2_42_L3040,16/07/2012
3760,5011.053277,5000.734838,98.539142,P_C2_42_L3040,16/07/2012
3761,5011.107476,5000.7901,98.544598,P_C2_42_L3041,16/07/2012
3762,5011.095353,5000.766684,98.549553,P_C2_42_L3041,16/07/2012
3763,5011.14817,5000.726104,98.549246,P_C2_42_L3042,16/07/2012
3764,5011.125547,5000.604204,98.543493,P_C2_42_L3043,16/07/2012
3765,5011.159589,5000.573852,98.549986,P_C2_42_L3043,16/07/2012
3766,5011.187164,5000.615484,98.564644,P_C2_42_L3044,16/07/2012
3767,5011.223401,5000.656815,98.56626,P_C2_42_L3045,16/07/2012
3768,5011.238006,5000.634033,98.564718,P_C2_42_L3045,16/07/2012
CP1,5016,5006,100.37,control point,16/07/2012
TBM03,5020,5003,100.795,TBM03,16/07/2012
TBM06,5015.3528,5000.8168,100.691,TBM06,16/07/2012
