Name,Y,X,Z,Description,,Date Taken
3230,5010.77826,4985.552789,101.10886,CHECK9712,,9/07/2012
3231,5010.795954,4985.498924,100.508297,CHECK9712,,9/07/2012
3232,5014.331387,5000.462006,99.643179,EL_E4_22_N,,9/07/2012
3233,5013.677179,4999.864304,99.648136,EL_E4_22_W,,9/07/2012
3234,5013.667183,5000.512103,99.622147,EL_E4_22_C,,9/07/2012
3235,5013.707672,5001.119136,99.62221,EL_E4_22A_E,,9/07/2012
3236,5013.130627,5000.574902,99.646447,EL_E4_22A_S,,9/07/2012
3237,5013.042377,5001.766951,99.586503,PF_E4_22A_SF47,,9/07/2012
3238,5012.941272,5001.376724,99.609507,PF_E4_22A_SF47,,9/07/2012
3239,5012.79447,5000.997637,99.621333,PF_E4_22A_SF47,,9/07/2012
3240,5012.666711,5000.664539,99.641634,PF_E4_22A_SF47,,9/07/2012
3241,5012.676308,5000.344997,99.632168,PF_E4_22A_SF47,,9/07/2012
3242,5012.843078,5000.059419,99.651074,PF_E4_22A_SF47,,9/07/2012
3243,5013.222672,5000.141308,99.642641,PF_E4_22A_SF47,,9/07/2012
3244,5013.467013,5000.336123,99.635997,PF_E4_22A_SF47,,9/07/2012
3245,5013.826663,5000.614145,99.61935,PF_E4_22A_SF47,,9/07/2012
3246,5014.02741,5000.795633,99.623187,PF_E4_22A_SF47,,9/07/2012
3247,5013.737911,5001.099672,99.665584,PF_E4_22A_SF47,,9/07/2012
3248,5012.81489,4999.611383,99.65602,PF_D4_22_SF48,,9/07/2012
3249,5012.825891,4999.340604,99.66053,PF_D4_22_SF48,,9/07/2012
3250,5012.84536,4999.206114,99.649041,PF_D4_22_SF48,,9/07/2012
3251,5013.00386,4999.670169,99.667217,PF_D4_22_SF48,,9/07/2012
3252,5013.110339,4999.628031,99.657781,PF_D4_22_SF48,,9/07/2012
3253,5013.176151,4999.474082,99.66138,PF_D4_22_SF48,,9/07/2012
3254,5013.101605,4999.544579,99.703483,PF_D4_22_SF48,,9/07/2012
3255,5012.981184,4999.57148,99.705158,PF_D4_22_SF48,,9/07/2012
