Name,Northing,Easting,Elevation,Description,Date Taken
752,5012.980825,5001.050946,100.62825,PF_E3_4_L120,22/06/2012
753,5012.291175,5000.645675,100.302547,PF_D3_10_HB394,22/06/2012
754,5012.581981,5001.18758,100.635696,PF_E3_4_HM40,22/06/2012
755,5012.755251,5001.621303,100.29508,PF_E3_4_L121,22/06/2012
756,5012.783476,5001.407264,100.320263,PF_E3_4_HM41,22/06/2012
757,5012.82209,5001.255348,100.592146,PF_E3_4_L122,22/06/2012
758,5013.127579,5001.228446,100.586563,PF_E3_4_L123,22/06/2012
759,5013.416175,5001.502571,100.641708,PF_E3_4_HM42,22/06/2012
760,5013.29105,5001.200918,100.618121,PF_E3_4_L124,22/06/2012
761,5013.145218,5001.565842,100.610461,PF_E3_4_L125,22/06/2012
762,5011.572397,5000.764083,100.296828,PF_D3_10_HB395,22/06/2012
763,5014.202301,5000.671879,100.280529,EL_E4_10_N,22/06/2012
764,5013.565105,5001.319246,100.276281,EL_E4_10_E,22/06/2012
765,5012.904206,5000.621064,100.308361,EL_E4_10_S,22/06/2012
766,5013.561897,5000.021615,100.3085,EL_E4_10_W,22/06/2012
767,5013.550938,5000.624189,100.290259,EL_E4_10_C,22/06/2012
768,5013.174566,5001.083227,100.731569,LINE-LEVEL-E3-NW,22/06/2012
CP1,,,100.37,control point,22/06/2012
TBM03,,,100.795,TBM03,22/06/2012
TBM04,,,100.754,TBM04,22/06/2012
770,5011.280422,4985.477739,100.535266,CHECK,26/06/2012
771,5011.214422,5000.734249,100.167767,PF_C2_12_L155,26/06/2012
772,5011.212041,5000.709343,100.159615,PF_C2_12_L156,26/06/2012
773,5011.186055,5000.635494,100.157593,PF_C2_12_L157,26/06/2012
774,5011.296861,5000.638872,100.16236,PF_C2_12_L158,26/06/2012
775,5011.263249,5000.684438,100.150302,PF_C2_12_L159,26/06/2012
776,5010.718566,5000.379067,100.191388,PF_C2_12_HM65,26/06/2012
777,5010.626549,5000.437239,100.194232,PF_C2_12_L160,26/06/2012
