Lab ID,Sample ID,source,pretreat,Mean ?13C (‰),1? ?13C (‰),Mean 14C Age (BP),1? 14C Age (BP),1? range lower Calibrated Age (cal BP)(a),1? range upper Calibrated Age (cal BP)(a),2? range lower Calibrated Age (cal BP)(a),2s upper Calibrated Age (cal BP)(a),Median,Depth mbs
OZQ512,C14X158-C1/29,Radiocarbon Results for AINSE Grant 13/003 - Mar 2014 ,(b),-22.9,0.1,23270,70,27610,27430,27700,27350,27520,
OZQ513,C14X177-C2/33A,Radiocarbon Results for AINSE Grant 13/003 - Mar 2014 ,(c),-23.5,0.1,28640,140,33010,32470,33280,32090,32730,
OZQ516,C14X220-C2/38A,Radiocarbon Results for AINSE Grant 13/003 - Mar 2014 ,(c),-22.9,0.3,31650,180,35780,35280,36020,35070,35540,
OZQ697,C14X197 B2/38A,Radiocarbon Results for AINSE Grant 13/003 - Mar 2014 ,(c),-23.5,0.1,24130,90,28310,27990,28470,27870,28160,
OZQ698,C14X198 B1/39,Radiocarbon Results for AINSE Grant 13/003 - Mar 2014 ,(c),-24.6,0.1,31950,140,36060,35680,36220,35490,35860,
OZR149,C14X29 D3/9,Radiocarbon Results for AINSE Grant 13/003 - Mar 2014 ,(b),-23.3,0.1,1555,25,1520,1405,1525,1390,1465,
Wk43609,E3/5A SF20,Carah June 2016,,,,98,20,,,,,98,0.1698
Wk43606,D2/21A SF44,Carah June 2016,,,,8282,28,,,,,7457,1.017
Wk43603,C3/18A SF41,Carah June 2016,,,,8170,20,,,,,7189,0.8356
Wk43607,D3/16B SF33,Carah June 2016,,,,7806,20,,,,,6678,0.7224
Wk43610,E3/20A SF43,Carah June 2016,,,,10943,23,,,,,10887,0.944581
Wk43604,C4/9A SF16,Carah June 2016,,,,2757,20,,,,,937,0.362725
Wk43611,E4/22A SF47,Carah June 2016,,,,15323,35,,,,,16773,1.05
Wk43605,C4/36A SF56,Carah June 2016,,,,20155,69,,,,,23062,1.65
