"","Lab.ID","Sample.ID","source","pretreat","Mean.13C","X1s.13C","Mean.14C.Age..BP.","X1s.14C.Age..BP.","X1s.range.lower.Calibrated.Age..cal.BP..a.","X1s.range.upper.Calibrated.Age..cal.BP..a.","X2s.range.lower.Calibrated.Age..cal.BP..a.","X2s.upper.Calibrated.Age..cal.BP..a.","Median","Depth.mbs","square","spit","SF","c14_sample_code","c14_sample_code_num","square_spit","to_match","tmp","Description","Easting","Northing","Elevation","X","Y","Xnew","Ynew","Xnew_flipped","depth_below_ground_surface","depth_below_surface","Bchron_95perc_cred_int_2.5","Bchron_95perc_cred_int_97.5","Bchron_Median"
"12","OZQ512","C14X158-C1/29","Radiocarbon Results for AINSE Grant 15/001 - Feb 2016","","-22.9",0.1,23270,70,28290,27920,28480,27810,28120,1.578845,"C1","29","0","C14X158","X158","C1_29_","X158","C1_29_SF0","PL_C1_29_C14X158",5001.252435,5010.650291,99.132624,2.06363206063452,-1.75414365911365,2.69534463397944,0.265922098678401,-2.69534463397944,1.56058899999999,-1.56058899999999,27431,27613.025,27522.0125
"13","OZQ513","C14X177-C2/33A","Radiocarbon Results for AINSE Grant 15/001 - Feb 2016","","-23.5",0.1,28640,140,33320,32870,33570,32410,33080,1.76381,"C2","33A","0","C14X177","X177","C2_33A_","X177","C2_33A_SF0","P_C2_33A_C14X177",5000.920578,5010.627921,98.913125,1.73177506063439,-1.77651365911333,2.48090902246729,0.0116646428103786,-2.48090902246729,1.78008800000001,-1.78008800000001,32195.975,33145,32670.4875
"14","OZQ516","C14X220-C2/38A","Radiocarbon Results for AINSE Grant 15/001 - Feb 2016","","-22.9",0.3,31650,180,36540,35620,36640,35350,36190,1.994,"C2","38A","0","C14X220","X220","C2_38A_","X220","C2_38A_SF0","P_ C2_38A_CX220",5000.905235,5011.088916,98.672678,1.71643206063436,-1.31551865911388,2.13863882783259,0.320861847743129,-2.13863882783259,2.020535,-2.020535,35137,35925,35531
"15","OZQ697","C14X197 B2/38A","Radiocarbon Results for AINSE Grant 15/001 - Feb 2016","","-23.5",0.1,24130,90,29200,28730,29340,28520,28950,1.95518,"B2","38A","0","C14X197","X197","B2_38A_","X197","B2_38A_SF0","P_ B2_38_C14X197",4999.90872,5010.739769,98.733231,0.719917060634543,-1.66466565911378,1.69755667506354,-0.63850893946179,-1.69755667506354,1.959982,-1.959982,27954,28367,28160.5
"16","OZQ698","C14X198 B1/39","Radiocarbon Results for AINSE Grant 15/001 - Feb 2016","","-24.6",0.1,31950,140,36660,36390,36810,35690,36520,2.097115,"B1","39","0","C14X198","X198","B1_39_","X198","B1_39_SF0","P_B1_39_C14X198",5001.001005,5009.771389,98.609238,1.81220206063426,-2.63304565911312,3.15291586909162,-0.525478138433715,-3.15291586909162,2.083975,-2.083975,35576,36133,35854.5
"17","OZR149","C14X29 D3/9","Radiocarbon Results for AINSE Grant 15/001 - Feb 2016","","-23.3",0.1,1555,25,1515,1405,1525,1385,1465,0.370774,"D3","9","0","C14X29","X29","D3_9_","X29","D3_9_SF0","PF_D3_9_C14X29",5000.331902,5012.453485,100.333135,1.14309906063409,0.0490503408864242,0.758779468313501,0.856349879914445,-0.758779468313501,0.360078000000001,-0.360078000000001,1391,1521,1456
"18","OZT582","C4/5 C14X4","Radiocarbon Results for AINSE Grant 15/001 - Feb 2016","(b)","-24.8",0.1,170,25,285,5,290,0,180,NA,"C4","5","0","C14X4","X_4","C4_5_","X_4","C4_5_SF0","PF_C4_5_C14X_4",4999.336611,5012.409444,100.572939,0.147808060633906,0.00500934088631766,0.099072688267662,0.109804001402,-0.099072688267662,0.120273999999995,-0.120273999999995,4,281,142.5
"19","OZT583","C4/9 C14X26","Radiocarbon Results for AINSE Grant 15/001 - Feb 2016","(b)","-25.3",0.1,3550,25,3890,3780,3915,3720,3850,NA,"C4","9","0","C14X26","X26","C4_9_","X26","C4_9_SF0","PF_C4_9_C14X26",4999.046808,5011.955981,100.341795,-0.141994939365759,-0.448453659113511,0.223952592414608,-0.41366469939863,-0.223952592414608,0.351417999999995,-0.351417999999995,3734,3900,3817
"20","OZT584","C3/17 C14X76","Radiocarbon Results for AINSE Grant 15/001 - Feb 2016","(b)","-27.2",0.1,7935,35,8955,8645,8980,8635,8775,NA,"C3","17","0","C14X76","X76","C3_17_","X76","C3_17_SF0","PF_C3_17_C14X76",4999.800237,5011.342209,99.956208,0.61143406063411,-1.06222565911366,1.18883898174463,-0.298055090322841,-1.18883898174463,0.737004999999996,-0.737004999999996,8641,8971,8806
"21","OZT586","C4/23 C14X114","Radiocarbon Results for AINSE Grant 15/001 - Feb 2016","(c)","-25",0.1,14160,50,17350,17120,17460,17040,17240,NA,"C4","23","0","C14X114","X114","C4_23_","X114","C4_23_SF0","PF_C4_23_C14X114",4999.581593,5012.344751,99.64648,0.39279006063407,-0.0596836591139436,0.315787734883058,0.241089770408396,-0.315787734883058,1.046733,-1.046733,17093,17391,17242
