"","Sample","Depth below surface (m)","Water (%)","EDR_Beta","EDR_Gamma","EDR_Cosmic","EDR_total","De value (Gy)","Number of grains","OD (%)","Age (ka)","Sample.y","upper","lower","Elevation","Easting","Northing","year","X","Y","Xnew","Ynew","Xnew_flipped","Description","type","square","spit","cnr","find","findn","depth_below_ground_surface","total_station_depth_below_surf","osl_age","osl_error"
"35","SW5A","1.22","2.5","0.31 ± 0.02","0.37 ± 0.02","0.072","0.79 ± 0.03","17.4 ± 0.4","163/400 (134)","23 ± 2","22.0 ± 1.1 (0.8)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,22,NA
"36","NW6","1.16","<1","0.29 ± 0.02","0.37 ± 0.02","0.081","0.77 ± 0.03","16.3 ± 0.3","249/500 (201)","23 ± 1","21.2 ± 1.0 (0.7)",NA,NA,NA,99.537674,4998.992773,5012.711625,"2012",-0.196029939365872,0.307190340886336,-0.357148076720212,0.0723802041770024,0.357148076720212,"OSL_NW6","OSL","NW6",NA,NA,"","",1.155539,-1.155539,21.2,NA
"37","SW4B","1.04","<1","0.25 ± 0.02","0.35 ± 0.02","0.085","0.72 ± 0.03","10.5 ± 0.3","144/300 (122)","28 ± 2","14.7 ± 0.8 (0.6)",NA,NA,NA,99.650174,4997.312304,5012.220947,"2015",-1.87649893936577,-0.18348765911378,-1.17153571931635,-1.47730161065838,1.17153571931635,"OSL_SW_4B","OSL","SW","4B",NA,"","",1.04303899999999,-1.04303899999999,14.7,NA
"38","SW4A","1.04","<1","0.22 ± 0.02","0.26 ± 0.01","0.073","0.58 ± 0.03","8.7 ± 0.2","177/400 (151)","29 ± 2","14.9 ± 0.9 (0.7)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,14.9,NA
"39","NW5","0.95","4.5","0.24 ± 0.02","0.36 ± 0.02ǁ","0.083","0.71 ± 0.03","9.2 ± 0.2","188/500 (156)","32 ± 2","12.8 ± 0.7 (0.5)",NA,NA,NA,99.746618,4998.970345,5012.772463,"2012",-0.21845793936609,0.368028340886667,-0.416491069426258,0.0985084770770645,0.416491069426258,"OSL_NW5","OSL","NW5",NA,NA,"","",0.946595000000002,-0.946595000000002,12.8,NA
"40","SW3B","0.85","<1","0.28 ± 0.02","0.33 ± 0.01","0.087","0.73 ± 0.04","8.2 ± 0.2 (C)7.2 ± 0.2 (M)","150/400 (121)","21 ± 2","11.3 ± 0.79.9 ± 0.6 (0.5)",NA,NA,NA,99.842387,4997.374323,5012.198121,"2015",-1.81447993936581,-0.206313659113221,-1.11203405155675,-1.44854514754491,1.11203405155675,"OSL_SW_3B","OSL","SW","3B",NA,"","",0.850825999999998,-0.850825999999998,11.3,NA
"41","SW3A","0.85","1.1","0.23 ± 0.02","0.33 ± 0.01","0.075","0.67 ± 0.03","7.6 ± 0.2 (C)6.7 ± 0.2 (M)","113/300 (86)","20 ± 2","11.2 ± 0.69.9 ± 0.5 (0.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,11.2,NA
"42","NW4","0.74","2.9","0.22 ± 0.02","0.26 ± 0.01","0.085","0.59 ± 0.03","5.1 ± 0.3","202/400 (176)","27 ± 2","8.7 ± 0.7 (0.6)",NA,NA,NA,99.952457,4998.996126,5012.697102,"2012",-0.192676939365811,0.29266734088651,-0.344371915283827,0.0647036270135263,0.344371915283827,"OSL_NW4","OSL","NW4",NA,NA,"","",0.740756000000005,-0.740756000000005,8.7,NA
"43","SW2B","0.68","<1","0.28 ± 0.02","0.33 ± 0.01","0.088","0.73 ± 0.03","5.9 ± 0.2","191/400 (145)","35 ± 2","8.1 ± 0.4 (0.3)",NA,NA,NA,100.014348,4997.365926,5012.199182,"2015",-1.82287693936541,-0.205252659113285,-1.11863031742134,-1.45384841131706,1.11863031742134,"OSL_SW_2B","OSL","SW","2B",NA,"","",0.678865000000002,-0.678865000000002,8.1,NA
"44","SW2A","0.66","1.1","0.23 ± 0.02","0.32 ± 0.01","0.076","0.66 ± 0.03","5.9 ± 0.1","165/400 (133)","22 ± 2","8.9 ± 0.5 (0.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,8.9,NA
