Name,Northing,Easting,Elevation,Description,,Date Taken
1473,5010.738244,4985.48866,100.503146,CHECK 220612,,22/06/2012
1474,5010.924138,5000.093376,100.269239,PF_C2_10_L112,,22/06/2012
1475,5012.441268,4999.788525,100.301344,PF_D4_10_HB368,,22/06/2012
1476,5012.679647,5000.070633,100.326694,PF_D4_10_R36,,22/06/2012
1477,5012.609041,5000.055793,100.332773,PF_D4_10_R36,,22/06/2012
1478,5012.686047,4999.975968,100.329542,PF_D4_10_R36,,22/06/2012
1479,5012.672261,5000.043441,100.318384,PF_D4_10_R36,,22/06/2012
1480,5012.255186,5001.773377,100.265321,PF_E2_9_C14X32,,22/06/2012
1481,5012.816518,5000.289597,100.348878,PF_D3_9_R35,,22/06/2012
1482,5012.759186,5000.318655,100.342416,PF_D3_9_R35,,22/06/2012
1483,5012.713799,5000.240759,100.346781,PF_D3_9_R35,,22/06/2012
1484,5012.732178,5000.22537,100.345803,PF_D3_9_R35,,22/06/2012
1485,5012.778476,5000.303546,100.38585,PF_D3_9_R35,,22/06/2012
1486,5012.702451,5000.053989,100.339241,PF_D4_9_R36,,22/06/2012
1487,5012.623104,5000.024665,100.33531,PF_D4_9_R36,,22/06/2012
1488,5012.656419,4999.960167,100.339973,PF_D4_9_R36,,22/06/2012
1489,5012.711503,4999.96767,100.343301,PF_D4_9_R36,,22/06/2012
1490,5012.685138,5000.006801,100.369542,PF_D4_9_R36,,22/06/2012
1491,5012.257947,5001.242917,100.309873,EL_D2_9_N,,22/06/2012
1492,5011.513426,5000.569138,100.305839,EL_D2_9_W,,22/06/2012
1493,5011.639044,5001.183325,100.281084,EL_D2_9_C,,22/06/2012
1494,5011.699464,5001.871917,100.306352,EL_D2_9_E,,22/06/2012
1495,5011.289405,5001.084227,100.273943,EL_D2_9_S,,22/06/2012
1496,5014.379297,5000.459531,100.303277,EL_E4_9_N,,22/06/2012
1497,5013.805744,5001.125884,100.30157,EL_E4_9_E,,22/06/2012
1498,5013.060957,5000.439775,100.336338,EL_E4_9_S,,22/06/2012
1499,5013.68429,4999.824522,100.339085,EL_E4_9_W,,22/06/2012
1500,5013.774371,5000.499875,100.331243,EL_E4_9_C,,22/06/2012
1501,5013.333515,5000.441748,100.331118,PF_E4_9A_SF17,,22/06/2012
1502,5013.593004,5000.411368,100.332428,PF_E4_9A_SF17,,22/06/2012
1503,5013.643718,5000.59556,100.315415,PF_E4_9A_SF17,,22/06/2012
1504,5013.450168,5000.676644,100.30924,PF_E4_9A_SF17,,22/06/2012
1505,5011.678408,5001.012867,100.27992,PF_D2_9_HB336,,22/06/2012
1506,5011.732169,5001.038031,100.27893,PF_D2_9_HB336,,22/06/2012
1507,5011.712187,5000.959043,100.282134,PF_D2_9_HB336,,22/06/2012
1508,5011.635393,5000.983766,100.286667,PF_D2_9_HB336,,22/06/2012
1509,5011.658046,5001.060827,100.277056,PF_D2_9_HB336,,22/06/2012
1510,5012.917883,4999.666577,100.35978,PF_D4_9_R30,,22/06/2012
1511,5013.068416,4999.774359,100.434461,PF_D4_9_R30,,22/06/2012
1512,5013.00789,4999.863052,100.451727,PF_D4_9_R30,,22/06/2012
1513,5012.880463,4999.80735,100.342981,PF_D4_9_R30,,22/06/2012
1514,5012.828206,4999.761867,100.339019,PF_D4_9_R30,,22/06/2012
1515,5012.992109,4999.839042,100.406995,PF_D4_9_C14X31,,22/06/2012
1516,5013.004207,4999.447715,100.337606,PF_D4_9_R31,,22/06/2012
1517,5013.027248,4999.4145,100.334072,PF_D4_9_R31,,22/06/2012
1518,5013.108423,4999.494078,100.323929,PF_D4_9_R31,,22/06/2012
1519,5013.05546,4999.53658,100.31749,PF_D4_9_R31,,22/06/2012
1520,5012.969588,4999.469543,100.335325,PF_D4_9_R31,,22/06/2012
1521,5012.991416,4999.782293,100.393952,PF_D4_9_R37,,22/06/2012
1522,5013.043724,4999.774904,100.364638,PF_D4_9_R37,,22/06/2012
