Name,Northing,Easting,Elevation,Description,,,,Date Taken
1289,5023.271179,4999.154685,100.493472,CHECK,,,,21/06/2012
1290,5010.924022,4999.721917,100.354439,PF_B3_9_HB304,,,,21/06/2012
1291,5013.232775,5003.890769,100.731696,BR,,,,21/06/2012
1292,5013.271567,5003.885666,100.87829,BR,,,,21/06/2012
1293,5013.326472,5003.878448,101.068564,BR,,,,21/06/2012
1294,5010.889016,4999.643731,100.358346,PF_B3_9_C14X_25,,,,21/06/2012
1295,5011.348843,4999.614055,100.363656,PF_C3_9_L100,,,,21/06/2012
1296,5013.335901,5003.871559,101.088192,BR,,,,21/06/2012
1297,5013.387557,5003.864815,101.204833,BR,,,,21/06/2012
1298,5013.402549,5003.862225,101.302576,BR,,,,21/06/2012
1299,5013.429959,5003.85866,101.419031,BR,,,,21/06/2012
1300,5013.461044,5003.854602,101.516559,BR,,,,21/06/2012
1301,5013.547586,5003.843327,101.680376,BR,,,,21/06/2012
1302,5013.567939,5003.840643,101.782255,BR,,,,21/06/2012
1303,5013.571646,5003.840197,101.908921,BR,,,,21/06/2012
1304,5013.651852,5003.82968,101.93763,BR,,,,21/06/2012
1305,5010.917153,4999.898837,100.351427,PF_C3_9_L101,,,,21/06/2012
1306,5010.86761,4999.737056,100.354185,PF_B3_9_HB305,,,,21/06/2012
1307,5011.462108,4999.122725,100.142819,PF_B3NWSEC_HB306,,,,21/06/2012
1308,5010.888157,4999.519734,100.318164,PF_B3_9_HB307,,,,21/06/2012
1309,5011.563791,4999.2159,100.366796,PF_B3_9_SF15,,,,21/06/2012
1310,5011.440807,4999.202828,100.350973,PF_B3_9_SF15,,,,21/06/2012
1311,5011.393136,4999.088599,100.342522,PF_B3_9_SF15,,,,21/06/2012
1312,5011.865245,4999.650074,100.369784,PF_C3_9_L102,,,,21/06/2012
1313,5010.920947,4999.763219,100.344076,PF_B3_9_HB308,,,,21/06/2012
1314,5012.214106,4999.866845,100.346397,PF_C3_9_HB309,,,,21/06/2012
1315,5011.616018,4999.341429,100.342197,PF_C3_9_HB310,,,,21/06/2012
1316,5011.818955,4999.983616,100.373128,PF_C3_9_HB310,,,,21/06/2012
1317,5010.87765,4999.876532,100.32859,PF_B3_9_HB311,,,,21/06/2012
1318,5011.84176,4998.934612,100.334207,PF_C4_9_HM30,,,,21/06/2012
1319,5011.955981,4999.046808,100.341795,PF_C4_9_C14X26,,,,21/06/2012
1320,5012.180548,4999.889018,100.354217,PF_C3_9_HB313,,,,21/06/2012
1321,5010.434209,5000.110445,100.328169,PF_B2_9_HB314,,,,21/06/2012
1322,5010.594904,4999.861723,100.285551,PF_B2_9_L103,,,,21/06/2012
1323,5011.419688,5000.021083,100.348419,PF_C3_9_HB315,,,,21/06/2012
1324,5010.620264,5000.133606,100.336617,PF_B2_9_HB316,,,,21/06/2012
1325,5011.745472,4999.164362,100.342352,PF_C4_9_HB317,,,,21/06/2012
1326,5012.222944,4998.890882,100.372498,PF_C4_9_SF16,,,,21/06/2012
1327,5012.017441,4998.979667,100.375788,PF_C4_9_SF16,,,,21/06/2012
1328,5011.997066,4999.175032,100.37484,PF_C4_9_SF16,,,,21/06/2012
1329,5012.078784,4999.284597,100.376506,PF_C4_9_SF16,,,,21/06/2012
1330,5012.221184,4999.318062,100.387469,PF_C4_9_SF16,,,,21/06/2012
1331,5012.400231,4999.084895,100.391897,PF_C4_9_SF16,,,,21/06/2012
1332,5012.334409,4998.924652,100.374874,PF_C4_9_SF16,,,,21/06/2012
1333,5010.384863,5000.165347,100.300865,EL_B2_9_S,,,,21/06/2012
1334,5010.827148,4999.924433,100.30137,EL_B2_9_N,,,,21/06/2012
1335,5010.851158,4999.85194,100.302682,EL_B3_9_E,,,,21/06/2012
1336,5011.442839,4999.212585,100.357274,EL_B3_9_N,,,,21/06/2012
1337,5011.203414,4998.925645,100.338674,EL_B3_9_W,,,,21/06/2012
