Name,Northing ,Eastig,Elevation,Description,,Date Taken
2552,5012.833421,5001.421291,100.167506,PF_E3_12_HB609,,30/06/2012
2553,5012.720562,5001.309266,100.16749,PF_E3_12_L223,,30/06/2012
2554,5011.41817,5001.142584,100.115813,PF_D2_12_HM79,,30/06/2012
2555,5013.442006,5001.498164,100.15433,PF_D2_12_HM80,,30/06/2012
2556,5013.687467,5001.215195,100.159433,EL_E3_12_N,,30/06/2012
2557,5013.084062,5001.829607,100.154655,EL_E3_12_E,,30/06/2012
2558,5012.43075,5001.229669,100.138137,EL_E3_12_S,,30/06/2012
2559,5013.103694,5000.591982,100.166914,EL_E3_12_W,,30/06/2012
2560,5013.147934,5001.29054,100.158836,EL_E3_12_C,,30/06/2012
2561,5013.01852,5001.16268,100.176614,PF_E3_SR10_L224,,30/06/2012
2562,5011.546314,5001.260513,100.159269,PF_D2_12_L225,,30/06/2012
2563,5013.188376,5001.239377,100.161597,PF_E3_SR10,,30/06/2012
2564,5012.854773,5001.382461,100.15242,PF_E3_SR10,,30/06/2012
2565,5012.746275,5001.130302,100.148466,PF_E3_SR10,,30/06/2012
2566,5013.085542,5001.01395,100.166074,PF_E3_SR10,,30/06/2012
2567,5014.30811,5000.500466,100.172209,PF_E4_SR4,,30/06/2012
2568,5013.862408,5000.987338,100.151624,PF_E4_SR4,,30/06/2012
2569,5013.610241,5000.772925,100.154732,PF_E4_SR4,,30/06/2012
2570,5013.31824,5000.474639,100.16779,PF_E4_SR4,,30/06/2012
2571,5013.729544,5000.035687,100.194241,PF_E4_SR4,,30/06/2012
2572,5014.05333,5000.296213,100.18147,PF_E4_SR4,,30/06/2012
2573,5013.860813,5000.48942,100.149592,PF_E4_SR4,,30/06/2012
2574,5014.132581,5000.692216,100.22196,PF_E4_SR4_MAN,,30/06/2012
2575,5013.971988,5000.328724,100.215043,PF_E4_SR4_LV5,,30/06/2012
2576,5013.875411,5000.265966,100.237017,PF_E4_SR4_LFEMP,,30/06/2012
2577,5013.794629,5000.688505,100.198924,PF_E4_SR4_LFEMD,,30/06/2012
2578,5013.690163,5000.287414,100.255098,PF_E4_SR4_LTAL,,30/06/2012
2579,5013.72579,5000.259144,100.261673,PF_E4_SR4_LCAL,,30/06/2012
2580,5011.984604,5001.46809,100.136088,PF_D2_12_L226,,30/06/2012
2581,5011.406619,5001.332035,100.132489,PF_D2_12_L227,,30/06/2012
2582,5012.732656,5001.251654,100.142236,PF_E3_SR10_L228,,30/06/2012
2583,5011.860877,5001.040891,100.12071,PF_D2_12_L229,,30/06/2012
2584,5011.710772,5001.469048,100.120374,PF_D2_12_L230,,30/06/2012
2585,5013.725433,5000.225878,100.173346,PF_E4_SR4_L231,,30/06/2012
2586,5013.094584,5001.140753,100.234818,PF_E3_SR10_TIB1,,30/06/2012
2587,5012.861596,5001.217842,100.11027,PF_E3_SR10_TIB1,,30/06/2012
2588,5011.887024,5001.673458,100.114664,PF_D2_12_L232,,30/06/2012
2589,5011.655953,5001.672838,100.119309,PF_D2_12_L233,,30/06/2012
2590,5011.653604,5001.664401,100.140651,PF_D2_12_HM81,,30/06/2012
2591,5013.659388,5000.278003,100.164489,PF_E4_SR4_L234,,30/06/2012
2592,5013.027535,5001.148554,100.165356,PF_E3_SR10_L235,,30/06/2012
2593,5012.358847,5001.197782,100.134957,EL_D2_12_N,,30/06/2012
2594,5011.657942,5001.727239,100.113121,EL_D2_12_E,,30/06/2012
2595,5011.585824,5000.538957,100.128717,EL_D2_12_W,,30/06/2012
2596,5011.678081,5001.181717,100.110997,EL_D2_12_C,,30/06/2012
2597,5011.240954,5001.104681,100.099013,EL_D2_12_S,,30/06/2012
2598,5012.037682,5001.544283,100.12827,PF_E2_12_L236,,30/06/2012
2599,5012.703147,5001.64618,100.141736,PF_E2_12_L237,,30/06/2012
2600,5012.93571,5001.844911,100.164427,PF_E2_12_L238,,30/06/2012
2601,5012.899858,5001.801676,100.150376,PF_E2_12_HB610,,30/06/2012
