Name,Northing,Easting,Elevation,Description
110,5012.267138,5000.602205,100.852078,EL_D3_3_C
111,5012.287659,4999.885492,100.868796,EL_C3_3_N
112,5011.633330,5000.607075,100.860329,EL_C3_3_E
113,5010.923461,4999.973820,100.866079,EL_C3_3_S
114,5011.586759,4999.281053,100.854798,EL_C3_3_W
115,5011.613572,4999.976527,100.880702,EL_C3_3_C
116,5010.869930,4999.960352,100.621127,EL_B2_3_N
117,5010.510786,5000.109640,100.611721,EL_B2_3_E
118,5010.643359,5000.207426,100.615514,EL_B2_3_E
119,5010.524768,5000.123566,100.613414,EL_B2_3_S
120,5010.734061,4999.840067,100.628564,EL_B2_3_W
121,5011.153454,5000.387125,100.633599,PF_C3_2_HB4
122,5010.780631,5000.176252,100.632148,PF_C3_2_L4
123,5011.560140,5000.618733,100.600626,EL_C2_3_N
124,5010.714212,5000.292082,100.616333,EL_C2_3_S
125,5010.916189,4999.967872,100.633474,EL_C2_3_W
126,5012.935332,4999.148708,100.652755,EL_C4_3_N
127,5012.289033,4999.852249,100.657499,EL_C4_3_E
128,5011.635141,4999.231977,100.626462,EL_C4_3_S
129,5012.263058,4998.533506,100.622401,EL_C4_3_W
130,5012.257159,4999.194212,100.643235,EL_C4_3_C
131,5011.656722,5001.438039,100.633703,PF_D2_3_HB5
132,5013.010169,4999.539430,100.654569,PF_D4_3_L5
133,5011.983255,5001.267269,100.611303,PF_D2_3_H6
134,5011.460044,5001.290000,100.671708,PF_D2_3_H7
135,5011.469865,5001.303300,100.662386,PF_D2_3_HM1
136,5013.315616,5003.166143,101.073725,BR
137,5011.466653,5001.283650,100.655573,PF_D2_3_HB8
138,5011.455514,5001.292627,100.659030,PF_D2_3_HB9
139,5011.387751,5001.226695,100.659463,PF_D2_3_HB10
140,5011.346786,5001.209209,100.620837,PF_D2_3A_HB11
141,5011.400032,5001.259987,100.630117,PF_D2_3A_HB12
142,5011.456021,5001.297027,100.617526,PF_D2_3A_HB13
143,5011.414797,5001.276906,100.607789,EL_D3_3A_C
144,5011.566312,5001.481097,100.607989,PF_D2_3A_HB14
145,5011.870427,5001.262036,100.597399,PF_D2_3_HB15
146,5011.801475,5001.266479,100.599453,PF_D2_3_HB16
147,5012.350299,5001.296537,100.625655,EL_D2_3_N
148,5011.739120,5001.981434,100.596241,EL_D2_3_E
149,5011.247526,5001.061492,100.606544,EL_D2_3_S
150,5011.632912,5000.659596,100.626900,EL_D2_3_W
151,5011.681275,5001.243750,100.593050,EL_D2_3_C
152,5014.423644,5000.485329,100.629063,EL_E4_3_N
153,5013.798140,5001.146290,100.601933,EL_E4_3_E
154,5013.086235,5000.519670,100.621380,EL_E4_3_S
155,5013.736136,4999.847448,100.631268,EL_E4_3_W
156,5013.748677,5000.528141,100.600639,EL_E4_3_C
157,5012.416600,5001.445258,100.602445,PF_E2_3_HB17
158,5012.653761,5001.062185,100.657653,PF_E3_3_L6
159,5012.646658,5001.756236,100.593591,PF_E2_3_HB18
160,5012.305305,5001.897567,100.587473,PF_E2_3_L8
161,5013.793868,5001.216120,100.605276,EL_E3_3_N
162,5013.120453,5001.946655,100.584708,EL_E3_3_E
163,5012.396016,5001.281159,100.627304,EL_E3_3_S
164,5013.045634,5000.552565,100.627280,EL_E3_3_W
165,5013.085566,5001.213625,100.630730,EL_E3_3_C
166,5013.017171,5000.757306,100.615638,PF_E3_3_M3
167,5013.115673,5001.312384,100.622707,PF_E3_3_M4
168,5011.999925,5002.303631,100.606790,PF_E2_3_HB19
169,5011.985474,5002.330459,100.615380,PF_E2_3_HB19
170,5011.977145,5002.353685,100.649336,PF_E2_3_HB20
171,5011.982369,5002.354365,100.619833,PF_E2_3_HB21
172,5012.001899,5002.397188,100.710827,PF_E2_3_HM2
173,5012.043664,5002.370120,100.794916,PF_E2_3_HM2
174,5012.030048,5002.376596,100.583922,PF_E2_3_HB22
175,5013.130798,5001.973970,100.584422,EL_E2_3_N
176,5012.726434,5002.423509,100.566860,EL_E2_3_E
177,5011.877345,5002.103734,100.566506,EL_E2_3_S
178,5012.389707,5001.306771,100.625134,EL_E2_3_W
179,5012.466035,5001.941049,100.586887,EL_E2_3_WC
180,5010.878693,4999.885706,100.569938,EL_B2_4_N
181,5010.728132,4999.778874,100.570301,EL_B2_4_W
182,5010.566616,5000.219152,100.567628,EL_B2_4_E
183,5010.413108,5000.158237,100.570869,EL_B2_4_S
184,5011.016410,5000.096938,100.571753,PF_C2_4_C14X1
185,5011.426680,5000.462239,100.581541,PF_C2_4_L8
186,5011.607101,5000.556566,100.570266,EL_C2_4_N
187,5010.911505,4999.910045,100.568309,EL_C2_4_W
188,5011.014993,4999.203123,100.592541,PF_B3_4_L9
189,5011.183773,5000.905599,100.558799,EL_C2_4_E
190,5010.645437,5000.279326,100.567890,EL_C2_4_S
191,5011.027624,5000.464617,100.565210,EL_C2_4_C
192,5011.236594,4999.671408,100.615078,PF_C3_4_C14X2
193,5011.283333,4999.793402,100.633688,PF_C3_4_HM3
194,5011.084941,4999.751440,100.619252,PF_C3_4_L10
195,5011.136242,4999.656328,100.575418,PF_C3_4_HB23
196,5011.530304,4999.163035,100.585281,EL_B3_4_N
197,5010.907174,4999.868669,100.569897,EL_B3_4_E
198,5010.556432,4998.808927,100.608781,EL_B3_4_S
199,5010.834635,4998.521333,100.563889,EL_B3_4_W
200,5011.067839,4999.348761,100.587245,PF_B3_4_M5
