Name,Northing,Easting,Elevation,Description,,Date Taken
879,5010.881258,4984.866232,100.529557,CHECK 270612,,27/06/2012
880,5010.86753,4999.797167,100.215543,PF_C3_SR14_HB577,,27/06/2012
881,5011.261951,5001.727262,100.268587,PF_E2_10_L175,,27/06/2012
882,5011.579679,5001.269255,100.262153,PF_E2_10_HM74,,27/06/2012
883,5012.270588,5001.31386,100.298312,EL_E2_10_N,,27/06/2012
884,5011.872526,5001.796981,100.281948,EL_E2_10_E,,27/06/2012
885,5010.981743,5001.356467,99.696448,EL_E2_10_S,,27/06/2012
886,5011.660413,5000.749816,100.273972,EL_E2_10_W,,27/06/2012
887,5011.783747,5001.341044,100.261576,EL_E2_10_C,,27/06/2012
CP1,5016,5006,100.37,control point,,27/06/2012
TBM03,5020,5003,100.795,TBM03,,27/06/2012
TBM04,5009,4996,100.754,TBM04,,27/06/2012
